OTU,Transect,Plot,Depth,value,Sample
ASV_2,D,A,C,10.232657492983417,ArcTE16SDAC
ASV_2,E,B,B,12.269819321611129,ArcTE16SEBB
ASV_2,C,A,A,8.063697425383609,ArcTE16SCAA
ASV_2,B,E,A,12.141851237004675,ArcTE16SBEA
ASV_2,E,B,A,11.115867366349386,ArcTE16SEBA
ASV_2,E,B,C,12.117162211695417,ArcTE16SEBC
ASV_2,E,A,C,10.41589685159574,ArcTE16SEAC
ASV_2,E,A,B,10.088702694052106,ArcTE16SEAB
ASV_2,C,B,A,11.014482742697856,ArcTE16SCBA
ASV_2,E,A,A,10.135581896321701,ArcTE16SEAA
ASV_2,C,A,B,8.641776415192394,ArcTE16SCAB
ASV_2,D,A,A,10.036027735152663,ArcTE16SDAA
ASV_2,D,D,B,6.939406363365745,ArcTE16SDDB
ASV_2,C,A,C,9.683785369213865,ArcTE16SCAC
ASV_2,A,B,A,10.820027230136391,ArcTE16SABA
ASV_2,A,B,B,10.925701187375731,ArcTE16SABB
ASV_2,B,C,A,10.754531254351194,ArcTE16SBCA
ASV_2,E,A,D,10.800166014578787,ArcTE16SEAD
ASV_2,D,A,B,10.430435202007807,ArcTE16SDAB
ASV_2,C,B,B,9.800897655963155,ArcTE16SCBB
ASV_2,D,B,D,8.312659222846847,ArcTE16SDBD
ASV_2,B,B,C,10.49992870319532,ArcTE16SBBC
ASV_2,D,B,B,7.6948094347193905,ArcTE16SDBB
ASV_2,B,E,B,10.30816152207704,ArcTE16SBEB
ASV_2,A,C,C,7.630458361961207,ArcTE16SACC
ASV_2,B,D,A,8.077566681909602,ArcTE16SBDA
ASV_2,B,A,B,-1.019457303204418,ArcTE16SBAB
ASV_2,B,D,B,7.049345448925445,ArcTE16SBDB
ASV_2,A,E,A,-1.0691320914295712,ArcTE16SAEA
ASV_2,B,E,C,-1.0689705436666364,ArcTE16SBEC
ASV_2,C,C,B,6.71015815163045,ArcTE16SCCB
ASV_2,B,B,D,9.519185952184516,ArcTE16SBBD
ASV_2,D,D,A,5.939562214636602,ArcTE16SDDA
ASV_2,B,A,A,5.23153329430677,ArcTE16SBAA
ASV_2,B,A,C,-1.1557124365116511,ArcTE16SBAC
ASV_2,A,E,B,-1.1531734985251472,ArcTE16SAEB
ASV_2,A,D,B,4.758370690536266,ArcTE16SADB
ASV_2,A,D,A,-1.1294002229195037,ArcTE16SADA
ASV_2,A,A,A,7.9157765060394585,ArcTE16SAAA
ASV_2,D,B,A,6.318875630788787,ArcTE16SDBA
ASV_2,A,E,D,-1.0681219896507121,ArcTE16SAED
ASV_2,D,B,C,7.679225919299942,ArcTE16SDBC
ASV_2,A,D,D,-1.0029834378666491,ArcTE16SADD
ASV_2,D,E,C,6.701773832069684,ArcTE16SDEC
ASV_2,A,C,A,7.803384001385471,ArcTE16SACA
ASV_2,B,B,A,-1.0691320914295712,ArcTE16SBBA
ASV_2,D,E,A,6.770632742763739,ArcTE16SDEA
ASV_2,A,A,B,6.718837906355299,ArcTE16SAAB
ASV_2,B,C,C,5.8306584679480284,ArcTE16SBCC
ASV_2,D,C,C,-0.7858350465418908,ArcTE16SDCC
ASV_2,B,E,D,-0.7642952237395182,ArcTE16SBED
ASV_2,A,E,C,-1.1294002229195037,ArcTE16SAEC
ASV_2,B,C,D,-0.843212058128425,ArcTE16SBCD
ASV_2,E,B,D,-0.8028091914591142,ArcTE16SEBD
ASV_2,D,C,D,-0.8087347321487579,ArcTE16SDCD
ASV_2,A,D,C,4.523481937645391,ArcTE16SADC
ASV_2,C,E,A,6.106966482403767,ArcTE16SCEA
ASV_2,C,D,C,-1.0029834378666491,ArcTE16SCDC
ASV_2,C,E,B,-0.9659278729196092,ArcTE16SCEB
ASV_2,D,C,B,5.726876882163461,ArcTE16SDCB
ASV_2,E,E,A,-0.7253699412852841,ArcTE16SEEA
ASV_2,C,D,A,-0.979367709946807,ArcTE16SCDA
ASV_2,B,D,D,-0.892085473351873,ArcTE16SBDD
ASV_2,C,D,B,-1.0187705639368616,ArcTE16SCDB
ASV_2,E,D,B,-0.8841237081987607,ArcTE16SEDB
ASV_2,C,C,D,6.967326242128211,ArcTE16SCCD
ASV_2,B,B,B,-0.863248594223907,ArcTE16SBBB
ASV_2,B,D,C,-0.9193917739253665,ArcTE16SBDC
ASV_2,E,D,C,-0.7642952237395182,ArcTE16SEDC
ASV_2,E,D,A,-0.7253699412852841,ArcTE16SEDA
ASV_2,E,E,B,-0.7858350465418908,ArcTE16SEEB
