group	OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species	ArcTE16SAAA	ArcTE16SAAB	ArcTE16SABA	ArcTE16SABB	ArcTE16SACA	ArcTE16SACC	ArcTE16SADA	ArcTE16SADB	ArcTE16SADC	ArcTE16SADD	ArcTE16SAEA	ArcTE16SAEB	ArcTE16SAEC	ArcTE16SAED	ArcTE16SBAA	ArcTE16SBAB	ArcTE16SBAC	ArcTE16SBBA	ArcTE16SBBB	ArcTE16SBBC	ArcTE16SBBD	ArcTE16SBCA	ArcTE16SBCC	ArcTE16SBCD	ArcTE16SBDA	ArcTE16SBDB	ArcTE16SBDC	ArcTE16SBDD	ArcTE16SBEA	ArcTE16SBEB	ArcTE16SBEC	ArcTE16SBED	ArcTE16SCAA	ArcTE16SCAB	ArcTE16SCAC	ArcTE16SCBA	ArcTE16SCBB	ArcTE16SCCB	ArcTE16SCCD	ArcTE16SCDA	ArcTE16SCDB	ArcTE16SCDC	ArcTE16SCEA	ArcTE16SCEB	ArcTE16SDAA	ArcTE16SDAB	ArcTE16SDAC	ArcTE16SDBA	ArcTE16SDBB	ArcTE16SDBC	ArcTE16SDBD	ArcTE16SDCB	ArcTE16SDCC	ArcTE16SDCD	ArcTE16SDDA	ArcTE16SDDB	ArcTE16SDEA	ArcTE16SDEB	ArcTE16SDEC	ArcTE16SEAA	ArcTE16SEAB	ArcTE16SEAC	ArcTE16SEAD	ArcTE16SEBA	ArcTE16SEBB	ArcTE16SEBC	ArcTE16SEBD	ArcTE16SEDA	ArcTE16SEDB	ArcTE16SEDC	ArcTE16SEEA	ArcTE16SEEB	ArcTE16SEED
methanotrophy	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acetoclastic_methanogenesis	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_disproportionation_of_methyl_groups	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_using_formate	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_CO2_reduction_with_H2	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_reduction_of_methyl_compounds_with_H2	NA	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	NA	0	0.1781018408	0.1089560753	0.190493977	0.1834327934	0.1489547038	0.1910866911	0.02583979328	0.1185243328	0.02779809802	0.1627401232	0.06199740597	0.0979661988	0.1336140888	0.03284868067	0.1104713158	0.01199791341	0.1350635593	0.09745127436	0.08041237113	0.1942063257	0.1964457253	0.1882993646	0.193883792	0.1073015873	0.1908510322	0.1810402685	0.07571288102	0.03347889374	0.1929968541	0.1891301975	0.1578800558	0.1685823755	0.1911900533	0.19451297	0.1952068658	0.1981125624	0.1957578806	0.08358208955	0.1383067896	0.0784856879	0.04081632653	0.08112582781	0.1526104418	0.1308270677	0.1920744036	0.1885245902	0.1844427635	0.1899224806	0.1862578081	0.169656909	0.1914340449	0.1729390681	0.183457052	0.1686746988	0.1804107425	0.1869633571	0.1990358127	0.2	0.1927664486	0.1946636064	0.1885407846	0.1843432879	0.1929600273	0.1953485308	0.183107849	0.1894031234	0	0	0	0	0	0	0
hydrogenotrophic_methanogenesis	NA	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	NA	0	0.1781018408	0.1089560753	0.190493977	0.1834327934	0.1489547038	0.1910866911	0.02583979328	0.1185243328	0.02779809802	0.1627401232	0.06199740597	0.0979661988	0.1336140888	0.03284868067	0.1104713158	0.01199791341	0.1350635593	0.09745127436	0.08041237113	0.1942063257	0.1964457253	0.1882993646	0.193883792	0.1073015873	0.1908510322	0.1810402685	0.07571288102	0.03347889374	0.1929968541	0.1891301975	0.1578800558	0.1685823755	0.1911900533	0.19451297	0.1952068658	0.1981125624	0.1957578806	0.08358208955	0.1383067896	0.0784856879	0.04081632653	0.08112582781	0.1526104418	0.1308270677	0.1920744036	0.1885245902	0.1844427635	0.1899224806	0.1862578081	0.169656909	0.1914340449	0.1729390681	0.183457052	0.1686746988	0.1804107425	0.1869633571	0.1990358127	0.2	0.1927664486	0.1946636064	0.1885407846	0.1843432879	0.1929600273	0.1953485308	0.183107849	0.1894031234	0	0	0	0	0	0	0
methanogenesis	NA	Archaea	NA	NA	NA	NA	NA	0	0.2316519245	0.5641756988	0.2264450462	0.2662688264	0.1489547038	0.1946275946	0.02583979328	0.1381475667	0.05852231163	0.1663646249	0.06199740597	0.1286164423	0.1653905054	0.03284868067	0.1162294732	0.02764736568	0.2309322034	0.1094452774	0.1340206186	0.223174697	0.2142170989	0.2468025415	0.193883792	0.1149206349	0.2365958711	0.2758389262	0.07571288102	0.03347889374	0.2280125838	0.2434792099	0.1782426778	0.2413793103	0.2352397869	0.2219481199	0.2191725366	0.2075497504	0.2169684775	0.1010660981	0.1383067896	0.0784856879	0.0853432282	0.08112582781	0.1526104418	0.1503759398	0.2317023858	0.2375142966	0.262228946	0.2403100775	0.2549687677	0.3163361662	0.2342638205	0.1729390681	0.183457052	0.1686746988	0.1804107425	0.1869633571	0.1990358127	0.2	0.1927664486	0.2213455745	0.2458368614	0.2299217164	0.2281598909	0.2186058769	0.2675686038	0.2423875062	1	0	0	0.1612903226	0	0.2289156627	0
methanol_oxidation	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methylotrophy	NA	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	NA	0	0.1781018408	0.1089560753	0.190493977	0.1834327934	0.1489547038	0.1910866911	0.02583979328	0.1185243328	0.02779809802	0.1627401232	0.06199740597	0.0979661988	0.1336140888	0.03284868067	0.1104713158	0.01199791341	0.1350635593	0.09745127436	0.08041237113	0.1942063257	0.1964457253	0.1882993646	0.193883792	0.1073015873	0.1908510322	0.1810402685	0.07571288102	0.03347889374	0.1929968541	0.1891301975	0.1578800558	0.1685823755	0.1911900533	0.19451297	0.1952068658	0.1981125624	0.1957578806	0.08358208955	0.1383067896	0.0784856879	0.04081632653	0.08112582781	0.1526104418	0.1308270677	0.1920744036	0.1885245902	0.1844427635	0.1899224806	0.1862578081	0.169656909	0.1914340449	0.1729390681	0.183457052	0.1686746988	0.1804107425	0.1869633571	0.1990358127	0.2	0.1927664486	0.1946636064	0.1885407846	0.1843432879	0.1929600273	0.1953485308	0.183107849	0.1894031234	0	0	0	0	0	0	0
