pathway	ArcTE16SAAA_S94_R1_001.fastq.gz	ArcTE16SAAB_S95_R1_001.fastq.gz	ArcTE16SABA_S96_R1_001.fastq.gz	ArcTE16SABB_S97_R1_001.fastq.gz	ArcTE16SACA_S98_R1_001.fastq.gz	ArcTE16SACC_S99_R1_001.fastq.gz	ArcTE16SADA_S100_R1_001.fastq.gz	ArcTE16SADB_S101_R1_001.fastq.gz	ArcTE16SADC_S102_R1_001.fastq.gz	ArcTE16SADD_S103_R1_001.fastq.gz	ArcTE16SAEA_S104_R1_001.fastq.gz	ArcTE16SAEB_S105_R1_001.fastq.gz	ArcTE16SAEC_S106_R1_001.fastq.gz	ArcTE16SAED_S107_R1_001.fastq.gz	ArcTE16SBAA_S108_R1_001.fastq.gz	ArcTE16SBAB_S109_R1_001.fastq.gz	ArcTE16SBAC_S110_R1_001.fastq.gz	ArcTE16SBBA_S111_R1_001.fastq.gz	ArcTE16SBBB_S112_R1_001.fastq.gz	ArcTE16SBBC_S70_R1_001.fastq.gz	ArcTE16SBBD_S71_R1_001.fastq.gz	ArcTE16SBCA_S113_R1_001.fastq.gz	ArcTE16SBCC_S72_R1_001.fastq.gz	ArcTE16SBCD_S73_R1_001.fastq.gz	ArcTE16SBDA_S114_R1_001.fastq.gz	ArcTE16SBDB_S115_R1_001.fastq.gz	ArcTE16SBDC_S74_R1_001.fastq.gz	ArcTE16SBDD_S75_R1_001.fastq.gz	ArcTE16SBEA_S116_R1_001.fastq.gz	ArcTE16SBEB_S117_R1_001.fastq.gz	ArcTE16SBEC_S69_R1_001.fastq.gz	ArcTE16SBED_S77_R1_001.fastq.gz	ArcTE16SCAA_S119_R1_001.fastq.gz	ArcTE16SCAB_S120_R1_001.fastq.gz	ArcTE16SCAC_S121_R1_001.fastq.gz	ArcTE16SCBA_S122_R1_001.fastq.gz	ArcTE16SCBB_S123_R1_001.fastq.gz	ArcTE16SCCB_S124_R1_001.fastq.gz	ArcTE16SCCD_S125_R1_001.fastq.gz	ArcTE16SCDA_S126_R1_001.fastq.gz	ArcTE16SCDB_S127_R1_001.fastq.gz	ArcTE16SCDC_S128_R1_001.fastq.gz	ArcTE16SCEA_S84_R1_001.fastq.gz	ArcTE16SCEB_S85_R1_001.fastq.gz	ArcTE16SDAA_S86_R1_001.fastq.gz	ArcTE16SDAB_S87_R1_001.fastq.gz	ArcTE16SDAC_S76_R1_001.fastq.gz	ArcTE16SDBA_S88_R1_001.fastq.gz	ArcTE16SDBB_S89_R1_001.fastq.gz	ArcTE16SDBC_S90_R1_001.fastq.gz	ArcTE16SDBD_S66_R1_001.fastq.gz	ArcTE16SDCB_S91_R1_001.fastq.gz	ArcTE16SDCC_S67_R1_001.fastq.gz	ArcTE16SDCD_S68_R1_001.fastq.gz	ArcTE16SDDA_S92_R1_001.fastq.gz	ArcTE16SDDB_S129_R1_001.fastq.gz	ArcTE16SDEA_S130_R1_001.fastq.gz	ArcTE16SDEB_S131_R1_001.fastq.gz	ArcTE16SDEC_S78_R1_001.fastq.gz	ArcTE16SEAA_S132_R1_001.fastq.gz	ArcTE16SEAB_S133_R1_001.fastq.gz	ArcTE16SEAC_S134_R1_001.fastq.gz	ArcTE16SEAD_S135_R1_001.fastq.gz	ArcTE16SEBA_S136_R1_001.fastq.gz	ArcTE16SEBB_S137_R1_001.fastq.gz	ArcTE16SEBC_S79_R1_001.fastq.gz	ArcTE16SEBD_S80_R1_001.fastq.gz	ArcTE16SEDA_S81_R1_001.fastq.gz	ArcTE16SEDB_S138_R1_001.fastq.gz	ArcTE16SEDC_S82_R1_001.fastq.gz	ArcTE16SEEA_S139_R1_001.fastq.gz	ArcTE16SEEB_S140_R1_001.fastq.gz	ArcTE16SEED_S83_R1_001.fastq.gz	ArcTEBLANK1_S93_R1_001.fastq.gz	ArcTEBLANK2_S118_R1_001.fastq.gz	ArcTEBLANK3_S141_R1_001.fastq.gz
1CMET2-PWY	745.4544146847192	85.64490020721911	549.4895411197446	0.0	17.396775560390537	88.85445681627809	127.73502058167912	204.71254459803905	175.07192929047056	60.73770597059925	0.0	287.9867030845905	402.9616892675397	0.0	67.6786299921037	0.0	202.0958402491228	0.0	106.83649162827606	240.54252227686865	20.188971128111206	0.0	75.34775139183873	0.0	0.0	114.08548284518857	0.0	25.456455656359086	0.0	0.0	0.0	0.0	163.85204622337838	40.83249730712639	0.0	0.0	0.0	111.25669106668163	0.0	4.658064951613133	0.0	0.0	0.0	181.65366701307585	58.135777528032285	0.0	0.0	0.0	0.0	30.718979994634648	13.845117152630117	124.07859944391559	0.0	0.0	0.0	0.0	0.0	0.0	46.75693932099725	0.0	0.0	1345.3589432046758	0.0	0.0	0.0	84.14459704671867	0.0	11.589785603803453	9.244053179316692	13.270606051944936	0.0	0.0	0.0	0.0	0.0	1122.425390505137
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.685788787483702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANAEROFRUCAT-PWY	0.0	156.78834631470295	19.399813563191106	0.0	25.81326157402551	0.0	0.0	82.83845076503255	30.639890383757013	0.0	0.0	0.0	103.59529994245855	0.0	0.0	0.0	0.0	0.0	21.601943650620896	253.54469387468228	37.78836385260442	0.0	102.90196076020747	0.0	0.0	213.46633108029548	0.0	0.0	0.0	0.0	0.0	0.0	306.1689659712669	25.831145136639176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	212.5321100355863	0.0	0.0	0.0	0.0	57.40895961225106	0.0	244.78783738611168	0.0	10.31635299439776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.92622321939254	0.0	0.0	0.0	16.858765943185826	0.0	0.0	0.0	0.0	0.0	0.0
ANAGLYCOLYSIS-PWY	0.0	364.9409136066733	53.051611944046655	0.0	29.734934626478488	0.0	222.23496081589576	107.01014385057998	40.95763974414863	0.0	0.0	0.0	137.11946777652344	34.24164355145074	0.0	0.0	0.0	0.0	28.91250138458397	328.70089446788285	96.82820719730383	0.0	106.72944542875581	0.0	0.0	280.04760079197456	0.0	44.727098145027504	0.0	0.0	0.0	0.0	402.05023824269114	104.35154740741977	0.0	0.0	0.0	0.0	0.0	8.89105984577261	0.0	0.0	0.0	0.0	286.45264628899264	0.0	0.0	0.0	0.0	78.55964402590467	35.426006741642034	412.40328519916335	0.0	11.876159251525584	0.0	0.0	0.0	0.0	60.528495674444855	0.0	0.0	0.0	0.0	0.0	0.0	209.1332525771939	0.0	14.787508979214632	8.963114087525218	17.410288710144215	0.0	0.0	0.0	0.0	0.0	1251.6370343760616
ARG+POLYAMINE-SYN	0.0	88.30166347920648	15.98165172855902	0.0	0.0	0.0	257.31222014075615	73.706420466789	56.379244478347886	0.0	0.0	0.0	180.52940434538436	0.0	0.0	0.0	0.0	0.0	19.887252304550042	0.0	19.931440278564093	0.0	136.71156961961137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.739033181460332	0.0	0.0	0.0	0.0	57.26102042108925	0.0	0.0	0.0	0.0	97.00905258943261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.79143515173263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGORNPROST-PWY	0.0	0.0	0.0	0.0	9.907775642791002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.57409142929914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGSYN-PWY	5500.967892076792	1523.744680851064	5337.437200299982	3633.7713111707594	3378.2885716692617	3698.6327498685	1143.3227676156225	2299.9775305507665	706.1666737361548	3362.1198470305576	1790.6317068695275	2579.4658990536263	2911.9596756058445	564.2192518640112	2847.777867949364	389.8165189889409	1901.7764901459068	1224.756934338461	643.3774524293273	3866.149815813669	2332.816521421221	4988.071095172837	1594.7134932025203	1766.1660994732058	3023.5260274962607	2497.324380167635	968.2866418710692	377.0863418980815	5975.936774682363	5136.270004169977	3816.873530471394	435.4642953402453	5273.048768092755	6442.208709655728	6733.527656743007	5006.662261613869	5713.804000039625	1398.652632617111	1272.1138894698488	730.2329105675921	361.1403356868794	1247.498648609945	1893.3526669167577	1777.5550172044661	7305.303954976188	6986.791937473805	4184.476255282163	1604.664576261563	5075.843799963494	2956.6106725261143	3716.2780024337285	1199.060821599405	1925.0885141479712	1274.117127294828	2021.1127889254062	4536.360963324711	1523.3690158660677	660.1670943586724	1803.1145740208199	6845.663938311387	5342.323650526627	7661.23486581689	6633.7672835450785	6660.508921658628	6985.660591593283	4681.196442077137	439.5272246158022	23.638418744454512	18.96054997755676	222.23861232010674	0.0	194.14127666497285	0.0	0.0	0.0	1238.1396939324115
ARGSYNBSUB-PWY	4815.947435429585	1570.5263157894738	5260.872840547941	3626.064004704639	3119.4686644519047	3687.8610959041093	865.3871721266548	1958.6105564828383	521.1365788712961	2928.3832690430404	1420.2104876339456	2109.98815532546	2595.112337463874	414.49408838995254	2346.6669523208825	280.51596045035245	1530.3268571945832	964.3031260356073	511.42155272190564	3808.1780477191855	2346.50115084885	4875.4360586645	1453.9376653884958	1449.0874609333666	2950.5407730686393	2425.9275523286374	767.7271226494778	280.7732782492963	5874.471480599199	4944.20728719248	3287.9391756401187	355.3884890356927	5226.790847624592	6103.060842433697	6202.809282019647	4805.708233067201	5339.224224113034	1143.9433099392825	1078.9221091376398	573.8796313690925	272.7508952135661	966.7605695403677	1636.5183087049427	1513.6253976954008	7143.594909827421	6706.710378541594	4197.7309084901635	1464.963898659629	4767.433674265461	2735.0882397126675	3734.2393580042085	1119.5784985876767	1787.4726337178681	1232.3858072640298	1877.3414798994866	4467.398723865945	1492.5892737742583	641.8651222145872	1800.533461345419	6426.626850139715	5220.574346272614	7516.159799927737	6475.315144567805	6556.833214813722	7068.464177888167	4727.966630120069	393.20489474834284	16.521289123794322	13.236364212092903	167.13346967640817	0.0	142.56402074968594	0.0	0.0	0.0	1294.3706732520952
ARO-PWY	0.0	118.83185840707965	15.719016393442628	0.0	17.450525839647177	0.0	190.0593201991774	48.57675222112536	17.443657422230494	0.0	0.0	0.0	58.911355854647596	0.0	0.0	0.0	0.0	0.0	12.185087055261164	146.67752151562289	27.76760569394211	0.0	85.00342387582742	0.0	0.0	122.00056027237859	0.0	50.566815043305176	0.0	0.0	0.0	0.0	174.49714229283245	13.98123022383645	0.0	0.0	0.0	0.0	0.0	6.9827874469225515	0.0	0.0	0.0	0.0	117.73822740597518	0.0	0.0	0.0	0.0	31.30807228208675	13.963551158552457	218.9473684210526	0.0	9.290734824281152	0.0	0.0	0.0	0.0	48.11359594404481	0.0	0.0	0.0	0.0	0.0	0.0	69.27249848978526	0.0	17.319289549772822	13.881033089325484	13.849137931034488	0.0	0.0	0.0	0.0	0.0	1323.1535217468177
ASPASN-PWY	0.0	35.89076196898179	11.69649500585062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.269401293966961	0.0	0.0	0.0	0.0	43.33862032236865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.985214612660852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.992744586781544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
