OTU,Transect,Plot,Depth,value,Sample
ASV_1,A,C,D,5.366230150239284,TE16SACD
ASV_1,C,B,A,11.37102083286352,TE16SCBA
ASV_1,E,A,A,12.087083098825692,TE16SEAA
ASV_1,C,A,D,10.96764324880925,TE16SCAD
ASV_1,E,C,A,4.461970949248911,TE16SECA
ASV_1,A,B,A,13.704093347603907,TE16SABA
ASV_1,C,A,B,12.285945541473499,TE16SCAB
ASV_1,A,A,A,13.191712737778793,TE16SAAA
ASV_1,C,A,C,11.639905023039347,TE16SCAC
ASV_1,B,B,B,12.267223607234767,TE16SBBB
ASV_1,E,A,D,9.734969944110938,TE16SEAD
ASV_1,B,B,A,11.40032385546965,TE16SBBA
ASV_1,B,B,C,11.138736042438369,TE16SBBC
ASV_1,D,B,A,11.560181443025165,TE16SDBA
ASV_1,A,B,B,12.088534557193023,TE16SABB
ASV_1,E,A,C,10.105164083307471,TE16SEAC
ASV_1,C,D,A,-0.1638617778380454,TE16SCDA
ASV_1,E,A,B,9.899381257960497,TE16SEAB
ASV_1,E,E,D,-0.1638617778380454,TE16SEED
ASV_1,A,A,C,10.72002195018159,TE16SAAC
ASV_1,C,A,A,10.154767027137927,TE16SCAA
ASV_1,C,B,D,6.654347993785787,TE16SCBD
ASV_1,B,B,D,11.002514068367296,TE16SBBD
ASV_1,A,E,A,8.014182156546914,TE16SAEA
ASV_1,C,B,C,9.574757415474284,TE16SCBC
ASV_1,E,C,B,4.628814235860032,TE16SECB
ASV_1,D,B,C,10.975429985686544,TE16SDBC
ASV_1,E,D,A,-0.1638617778380454,TE16SEDA
ASV_1,E,B,A,9.527705704387802,TE16SEBA
ASV_1,B,A,A,11.388646681811313,TE16SBAA
ASV_1,E,B,C,9.087770816746971,TE16SEBC
ASV_1,C,D,D,2.2097991274671114,TE16SCDD
ASV_1,D,B,B,11.234241871522876,TE16SDBB
ASV_1,E,E,C,-0.1638617778380454,TE16SEEC
ASV_1,E,E,B,-0.1638617778380454,TE16SEEB
ASV_1,E,B,B,10.058490193613151,TE16SEBB
ASV_1,B,E,A,-0.1638617778380454,TE16SBEA
ASV_1,B,A,B,13.205871927166806,TE16SBAB
ASV_1,A,A,B,13.298247487762083,TE16SAAB
ASV_1,C,B,B,9.834964866170562,TE16SCBB
ASV_1,E,C,D,3.3822817582574496,TE16SECD
ASV_1,C,E,B,-0.1638617778380454,TE16SCEB
ASV_1,A,A,D,9.124059696258584,TE16SAAD
ASV_1,A,B,D,10.039923113980365,TE16SABD
ASV_1,E,B,D,8.645566264399982,TE16SEBD
ASV_1,D,B,D,10.12803320513801,TE16SDBD
ASV_1,B,A,C,10.967702197905734,TE16SBAC
ASV_1,D,E,D,-0.1638617778380454,TE16SDED
ASV_1,E,C,C,2.405624791281708,TE16SECC
ASV_1,C,E,A,-0.1638617778380454,TE16SCEA
ASV_1,B,E,B,-0.1638617778380454,TE16SBEB
ASV_1,D,A,D,9.1389423286784,TE16SDAD
ASV_1,A,D,A,4.506524536873574,TE16SADA
ASV_1,D,A,B,10.243901808140983,TE16SDAB
ASV_1,D,D,A,-0.1638617778380454,TE16SDDA
ASV_1,D,A,A,10.110803710607732,TE16SDAA
ASV_1,A,B,C,9.505962035892717,TE16SABC
ASV_1,C,C,B,8.543992545637694,TE16SCCB
ASV_1,D,E,A,-0.1638617778380454,TE16SDEA
ASV_1,B,D,A,-0.1638617778380454,TE16SBDA
ASV_1,B,D,C,3.656741076903368,TE16SBDC
ASV_1,A,E,B,7.624090760352971,TE16SAEB
ASV_1,D,E,B,-0.1638617778380454,TE16SDEB
ASV_1,C,E,C,-0.1638617778380454,TE16SCEC
ASV_1,B,E,D,-0.1638617778380454,TE16SBED
ASV_1,C,C,C,7.824795583201625,TE16SCCC
ASV_1,C,C,D,8.171428741372111,TE16SCCD
ASV_1,C,D,C,-0.1638617778380454,TE16SCDC
ASV_1,D,A,C,9.044684576015763,TE16SDAC
ASV_1,A,C,C,-0.1638617778380454,TE16SACC
ASV_1,D,E,C,-0.1638617778380454,TE16SDEC
ASV_1,D,D,C,-0.1638617778380454,TE16SDDC
ASV_1,A,C,B,4.319941269898918,TE16SACB
ASV_1,B,C,C,2.3415640667457307,TE16SBCC
ASV_1,B,A,D,8.307187730905683,TE16SBAD
ASV_1,B,E,C,-0.1638617778380454,TE16SBEC
