pathway	TE16SAAA_S70	TE16SAAB_S71	TE16SAAC_S72	TE16SAAD_S73	TE16SABA_S74	TE16SABB_S75	TE16SABC_S76	TE16SABD_S77	TE16SACA_S78	TE16SACB_S79	TE16SACC_S80	TE16SACD_S81	TE16SADA_S82	TE16SADB_S83	TE16SADC_S84	TE16SADD_S85	TE16SAEA_S86	TE16SAEB_S87	TE16SAEC_S88	TE16SAED_S89	TE16SBAA_S90	TE16SBAB_S91	TE16SBAC_S92	TE16SBAD_S93	TE16SBBA_S94	TE16SBBB_S95	TE16SBBC_S96	TE16SBBD_S97	TE16SBCA_S98	TE16SBCB_S99	TE16SBCC_S100	TE16SBCD_S101	TE16SBDA_S102	TE16SBDB_S103	TE16SBDC_S104	TE16SBDD_S105	TE16SBEA_S106	TE16SBEB_S107	TE16SBEC_S108	TE16SBED_S109	TE16SCAA_S110	TE16SCAB_S111	TE16SCAC_S112	TE16SCAD_S113	TE16SCBA_S114	TE16SCBB_S115	TE16SCBC_S116	TE16SCBD_S117	TE16SCCB_S118	TE16SCCC_S119	TE16SCCD_S120	TE16SCDA_S121	TE16SCDB_S122	TE16SCDC_S123	TE16SCDD_S124	TE16SCEA_S125	TE16SCEB_S126	TE16SCEC_S127	TE16SCED_S128	TE16SDAA_S129	TE16SDAB_S130	TE16SDAC_S131	TE16SDAD_S132	TE16SDBA_S133	TE16SDBB_S134	TE16SDBC_S135	TE16SDBD_S136	TE16SDCB_S137	TE16SDCC_S138	TE16SDCD_S139	TE16SDDA_S140	TE16SDDB_S141	TE16SDDC_S142	TE16SDDD_S143	TE16SDEA_S144	TE16SDEB_S145	TE16SDEC_S146	TE16SDED_S147	TE16SEAA_S148	TE16SEAB_S149	TE16SEAC_S150	TE16SEAD_S151	TE16SEBA_S152	TE16SEBB_S153	TE16SEBC_S154	TE16SEBD_S155	TE16SECA_S156	TE16SECB_S157	TE16SECC_S158	TE16SECD_S159	TE16SEDA_S160	TE16SEDB_S161	TE16SEDC_S162	TE16SEDD_S163	TE16SEEA_S164	TE16SEEB_S165	TE16SEEC_S166	TE16SEED_S167
1CMET2-PWY	19061.910762467985	18834.179304099558	23123.81111401407	21152.959621031758	20647.84502573514	18246.233214015294	16367.117688593846	18572.454823477336	24268.869070693734	18531.202543350664	21984.34754000043	19394.734668061246	23858.644667926896	16165.913241556294	16243.415945043356	21789.149090126182	20760.773504559333	18355.798427568974	16532.42866297804	17976.330660196378	20124.004265370928	17459.60443702719	14304.801877289166	18464.30308259816	22494.21278859059	18405.728968123596	18689.755003483195	24542.801711681197	29063.077504132696	25744.097753463746	22729.810381608153	29358.683294390983	22789.689553457745	27153.344513703803	21164.152271291474	18609.165544190662	24319.65134490681	16717.86126664011	19656.9363688941	20394.406024288088	25083.70706784474	25590.65594760451	33640.54860774415	14606.754839774667	25094.767792735147	23643.638795230498	20719.05511522124	26705.540611529268	25146.67699212533	27352.538276130694	29774.190999368235	29177.244158608366	18973.193700504482	20011.94069925815	16643.163109985973	27994.65722255451	22441.43352816244	30146.393019910956	25813.858061697305	20213.7124804461	19211.116372848937	18945.12572259827	22691.475911146088	19122.47027646999	17326.252388427485	20605.769471396477	21213.852221259414	19202.962172388794	24781.901522644228	28151.327808788876	22839.288353105858	19378.386097917977	24135.960853730987	27780.200546498414	29413.537710505923	28184.008747811786	29527.025350351065	33511.313686758425	23277.720284730553	24369.03264294698	25678.75954242382	24746.063508381176	30057.029528885974	17683.407598783386	24104.57448364189	22410.15767901364	16754.23736060726	28293.9858493843	34111.694666515046	28213.369776714062	40062.27852675429	21284.575034466303	24910.109461873755	28131.377945846718	22746.287791406823	35718.24081312958	29082.215651107443	19184.268429421434
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	361.6403660785991	203.45352757407503	1151.4813433150346	2054.3431308670574	430.82844135252196	440.778283369541	1090.4145769991756	1424.2712100899603	1973.1394715749773	1005.949635810799	1703.2951168881646	2309.895551784882	878.5922146041637	1228.2986129749975	1634.5509271472088	2033.9884114047143	1234.413592255087	1502.5603027500342	1670.5979217891213	1372.0810749546279	659.8591471392158	261.2511538846077	604.5256052434028	2878.0184719794543	1545.5879450949283	747.6157992152446	1076.6662072729803	1489.1072827301211	2351.590350938567	5828.925166064716	2313.1122049788555	4023.806617710266	3295.749237118179	1830.6014256665344	2430.2581160194777	2494.8858206228037	700.7367503284677	1075.73972434019	1430.4051100936736	1972.5953673604606	1493.0103207201437	742.2933460799428	2024.926861120987	1429.0958210413985	2574.8645279061175	1702.314144306115	3367.6668097248967	8439.014805080182	2197.668574124783	3838.6722306621605	2116.9732385387842	819.2739524602388	834.9183567000446	1546.0774880167728	4824.3532662339985	2047.8769657784546	1567.3826580478499	7848.819034815654	4403.798387394914	1536.3164208079488	914.0352829332062	1515.0383806686302	2313.579640312969	812.1641006094518	764.5276185841434	1279.3244437222932	1914.3101476870768	1088.8762626083724	3273.923369650395	2434.865057456056	737.69089171886	1696.366149360569	4277.828939614177	4585.314960058928	1701.0896771670155	1816.0863679368917	6794.82845713472	7176.23972937173	1447.2344077322985	2364.3624228920685	3103.927014521062	2946.8221233623417	4336.219037951965	1326.3926724987382	2979.226894943711	2794.1159453474943	1267.2086025701121	3122.3105032194085	9853.192907956645	4176.606381586714	3356.3655786833347	963.1341311770111	1891.2801328203657	4212.69599734077	408.8093973519908	2591.018295653832	8716.833739466083	2410.404486150891
AEROBACTINSYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1047122290503397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALL-CHORISMATE-PWY	845.7177397739712	51.13314000341295	459.9039287340545	311.02308564141	458.2544347373331	150.58875067058182	477.7505408804622	308.63032000304804	769.3313862740437	426.1738216669272	301.97345089602703	602.2788170610772	422.0260770017646	1065.118821579155	371.2325146111464	558.4730526834456	1233.4605231567446	871.3916719230319	797.3171847319404	974.9640682176716	335.8310966723273	271.37526008601395	136.77546122674502	1945.2847085917776	417.75724335124454	501.7722410545983	170.73015767521667	222.28980059108503	1274.0414158630604	858.1230742554945	421.28685811656743	804.0449255200048	1504.6360837654095	1142.1989771249514	1378.803215126989	1237.203851954676	179.46287343879666	1258.0418790481103	1094.4299892266101	1543.7966742793906	56.8338194329582	405.05763813023714	467.51803150471204	734.5325954918592	3283.8989177224576	1740.4347405462493	1301.7811524547844	2890.5637015904517	570.2145452005539	1056.9581208098239	688.4435643746364	1658.0008661598035	1444.3179524474735	1248.145662412968	398.7468279938653	1084.6878517631287	1432.1009139907615	1457.8474695543111	1709.7086358890747	1351.7195422348018	751.0513693845348	521.4927421832651	3095.172707107435	696.9530224588601	451.50855959854687	102.07103788432451	656.5340426090227	753.9967061870154	1541.9177185960386	973.9887947239496	590.6409465591572	473.0512682310751	1830.933941359778	1030.8986305756455	2158.3615330789567	3902.8256937532788	1640.7264987978785	1865.9489796480489	1007.3808604260666	988.5268067613433	929.2485324073064	237.41609204702797	849.441080928594	523.3588560431181	276.9663966515117	1223.8200267510322	36.26920720511652	214.59952789907612	1005.4345505866111	2132.8884282393797	2249.0567272688745	3680.0842858834553	1569.0651680362714	1710.8753887790044	627.8683863383617	4208.076467958097	3922.406852981063	3156.4019320550074
ANAEROFRUCAT-PWY	20517.932388077552	21931.054982798832	25228.262225431685	20671.890179156162	21191.365297854783	20137.71008008858	18467.709600720376	20118.60329912694	28151.700922566713	24115.37106448286	27447.635094063768	22009.602652917845	27071.09675241053	19621.609466394697	20231.35065454385	25524.365845764525	22994.165034640522	22468.488395700806	19180.140544922015	20467.110529861464	23273.817080232137	19730.956283504107	16212.67958858072	20090.494519033036	23874.469045601294	20972.23925898434	19956.370910713045	24852.906942822607	32246.9842898341	31071.229143257206	25912.894611499683	32414.305574081976	24278.944879426053	30899.03517461111	23435.41450096182	20230.459551804863	28705.79579660125	20036.57013620594	19784.541815448825	23386.792792283344	26362.230626730645	28139.847364850586	35591.38775061506	25846.63141199419	29815.764229134482	26745.58761712998	22783.49993243274	28786.689494697708	28580.876417149862	29410.2474285312	33039.19717926869	33704.291556094366	21704.73030412085	23762.147391736078	19984.160894999153	33872.16794207063	27802.95356180646	34185.27577914573	29541.127880904667	23791.69356218676	21146.81491845166	22273.685101344643	24467.502890650074	21212.363355421923	19608.50847494279	23482.006455951465	24462.63077768189	24009.659790297545	28470.050638145647	30765.720462939407	25868.533434868048	22228.438096620892	26885.372152246575	30679.758753099453	32048.670358609026	30251.839547339536	32656.305052082083	35031.265726565005	21575.1478449026	26788.022307193223	27421.544309505414	26573.82863902118	34233.55915544948	21038.245548807343	28176.680908677346	25648.875236026328	26785.034833738388	34147.88169113427	42290.11965349522	32734.11929044359	43080.78608799892	21401.676132632605	25180.680659852696	28248.608716203362	24095.811970369825	38654.56604006547	34163.42996495584	19444.787979936504
ANAGLYCOLYSIS-PWY	23747.863879540586	24555.57935763527	28406.369791351583	25083.854598750484	25901.031560796826	23300.938254109537	20620.16127320509	23044.44234314949	32458.31712208524	24776.781781003647	30327.402678996837	22682.449066637535	29592.829244799843	20770.331907486252	23118.30237421814	28242.2813740973	25953.674206833395	24883.283378247987	22811.527833491647	24933.15789369426	26311.447880231517	22396.27445654254	18238.47462223698	22693.859787224028	28716.42646553076	24259.068961791625	23850.52337524211	29920.784700040997	39541.02739022956	35180.57941316524	30280.6043302299	38698.60082026731	29132.712097237974	35972.46325853485	28129.870975171532	24673.75425360922	31566.641760888182	22232.672735568907	24251.03383001097	26652.247400229382	30034.53044462693	32643.74409870214	42478.9604381897	26315.932293005902	33370.65085235348	29614.762531911816	25210.96191572565	32847.026858699835	33481.090444964386	33831.34242927742	37487.22702756356	36783.919658491744	25280.029333127568	27545.058777562463	21852.147463296817	37399.144280799046	30083.221184192924	37769.02029131127	35109.39018455158	25949.65551489904	24266.810260297327	24217.148819552225	28113.193784055817	24343.579480563025	21456.631190368284	26239.84741658898	26765.509382726876	27579.3722224395	32529.8144389686	34395.182796014014	29143.11272519718	25774.34217329778	29584.2718198988	33629.27003351356	35817.91612421814	33505.25845683527	36186.47558671434	38191.10858293883	29541.440173398132	30818.80743802899	32762.321613248514	30853.09053859496	38431.70728074192	22777.48698451724	30439.80670851441	27907.144787361947	26778.133297771532	37352.6305304514	44297.45286234295	36240.38779952118	50328.56759386009	26397.160882147367	29913.931544224102	32055.960822845358	26758.037967737448	45674.27781961022	35216.03840319902	23382.704239481114
ARG+POLYAMINE-SYN	14794.967417896063	15707.832276018587	18611.531927511904	16876.53219576334	13676.975253474242	14005.066679507594	12109.5614112524	14309.84892864525	16745.798270531424	11815.04840954786	16946.422257624406	10838.93234933383	11253.695401124312	11600.64012577571	12803.048855497278	17695.30129324351	11182.2992828258	15720.69995565145	14205.761622232807	15123.463934399231	15876.042171558278	13242.421605331278	10794.955718042487	12980.293620694727	17214.522577062962	14746.07517026273	14826.476670675234	17173.049667652966	24658.813144062093	19800.68161629138	18580.156817025072	24008.843123852894	18199.29277581533	22739.334180058555	18220.536908024642	15922.233494225156	14689.42200770163	14069.794316545194	16773.492383766115	18005.766444494413	19240.352285495755	20991.660026121655	26136.90308953289	6572.362037750204	21243.96228062382	16956.354682605703	15209.638171843875	17690.36738480237	17870.141157052865	22859.868153718005	19157.080967142043	12520.50296610361	16570.883001992835	17436.66811116761	12717.320746779867	18713.058836315362	17218.271478056668	24574.680423872953	21508.8973036314	14662.602230947754	14154.059920087499	13852.797023303016	16675.094708004726	13400.260676920247	10499.92274541209	13528.705598698141	13556.034332229989	15841.880586244904	19699.671954569483	16887.727511894238	12723.896005085875	14296.101410254685	14978.967580958015	17604.265297992144	10573.826127757731	12698.641294141633	22629.698884068504	18114.67702656036	17736.255915753147	17726.09005580777	18177.6692871973	17890.455792611723	19899.75327027224	11622.80470595273	16053.733771948546	15633.709798198759	13384.909680583723	18837.83381753116	28601.479499006764	23179.18801618975	22422.821601455173	16980.498363888517	20030.107530168425	21005.04106777696	5617.612935367809	30306.039446221104	22249.613681845483	16358.843173840676
ARGDEG-PWY	1.399890718401815	0.0	3.928365899327009	4.105879687722022	3.2819506933472864	0.0	9.556251219945375	11.101098451053202	1.6781038323864135	0.0	0.0	59.320649538660135	0.0	6.123197435290988	0.0	0.0	1.8014021002537859	1.3783469649270783	0.0	13.015397891212462	1.8664853863485535	0.0	0.0	0.0	0.0	0.0	4.926314427090943	2.2315963239315115	0.0	16.64710770851269	2.7858326786873215	6.996770387591776	0.0	0.0	11.356619518637428	5.485037238170788	0.0	0.0	3.6382739816415506	5.1784723895021	9.320763302759278	1.331635055629024	3.5050053486079067	21.261448408128402	16.894679669591753	9.897766367413237	10.929586513318764	86.84300497912734	0.0	25.711063016665157	4.394067853409975	0.8399467068581994	2.7791148224288724	13.246906902783115	10.569871717177756	3.078435771128187	1.9832062078524029	43.632569864617174	16.557383043797152	6.670312047621704	4.2264318567945995	0.0	4.665677055942649	1.866451735415886	6.078321210551401	3.347207019302577	3.4248795975916386	1.3974152874727779	3.90884186465157	6.683111513317864	0.0	0.0	28.08383739271979	12.844393979865725	1.1198895205878874	4.258759838741823	29.270593057539536	50.78058469027401	6.071609340901678	4.840749720257335	9.398390485884537	14.202595717175864	4.108079139109341	5.331363562646685	12.208813952751605	15.048872409938511	3.2662370155182914	3.2664290870632193	28.690875511458344	16.393923429823055	6.860680756130864	2.7914958818417093	0.0	37.59793073729544	1.3994732982696207	7.931914777350544	74.94034958273801	12.811613712469589
ARGORNPROST-PWY	1727.016873869572	2997.8060849333187	2738.730867024037	2056.779503949836	2426.116732654575	1783.6302075647823	1917.3691105081948	2734.572089212079	16338.890648299195	5212.823328472303	10620.670624061542	11050.24832312304	17252.958545201225	4107.637028787532	9358.190971855165	7567.570904265875	12840.798982597142	6965.2749232857595	6676.871465397247	8987.01118878604	2810.7967591655483	3904.923002415135	2840.107426000655	3650.552732778334	3553.0613054919654	3119.674744806064	2297.2136187202022	5718.591934419515	11171.038439704138	11359.377955599377	8539.275367986349	9461.057960644237	10851.176950171055	9927.63112119814	8419.45120804572	8365.822648612346	17670.235977026376	6976.680045134966	5827.359646391647	7260.868626278091	3633.288230093699	3190.319287333498	5061.515099293423	10691.011122835409	3771.434717933379	3114.9956318804057	4336.447202145509	4650.354862235466	14608.962711601383	7161.826108658243	19606.619398534353	21016.022339124887	6820.057086604788	8673.17880452658	5662.853797344046	18757.282170738465	9643.1947762253	10677.885817184024	10367.056089708129	4551.698090979346	1687.535665784684	3024.564007307545	3491.712591093847	1948.205385732893	1195.060561107736	2948.4248970335298	3047.8928092437027	11185.360480603704	11380.59948869585	18436.094791934745	16197.357107773576	6320.227701576525	13460.012643772767	17168.899705954726	20371.222374103483	19280.0089158903	13708.153422329615	17812.901828145565	2806.5526893533347	2509.143147744831	6075.527096597984	2901.3817285633904	8830.88532578389	2414.2674606092983	3004.96831975331	2176.7230560012604	17488.204684804903	11465.29364842275	13386.73855197695	8665.413206076473	23569.399975041284	5452.623540735368	8658.681780623278	9358.734214158088	16687.66081913053	9278.891146450074	12750.82028420801	4375.0925126893835
ARGSYN-PWY	22677.933729376946	22741.54663207214	26450.585282083204	23700.069873235516	24774.819124405883	22039.06390021307	19212.376001494275	21708.112576424952	30258.96752402207	20892.053804785155	26617.82566492723	19828.09283275495	28874.349530591728	18018.812702026848	20729.51590382676	24895.592355635265	25379.953869567027	22114.762824225687	20650.229424778645	22490.738181413617	24283.23823224381	20593.697590641088	16572.65474964171	20918.326229528786	27311.22815560192	22827.238273468258	22442.36744301132	28435.019248585533	34854.04829541838	30436.2511571012	26448.772602230634	33822.6743795178	26733.892203679356	32057.919821859734	25241.1781506237	22596.885783491536	29481.109992402144	19562.91852602756	22391.83991592616	23961.161597466064	28786.971602544803	30751.52706447651	39689.98557322467	23130.352912294187	30766.407888802187	27065.49275566877	23424.763314798172	28794.373508648536	31181.458247800496	31028.150383660402	35274.03570948081	35607.434309339464	22543.087364048715	24865.769842542682	19058.922313258463	34865.21751916676	26372.585417302984	34488.45189141648	31781.868872697774	25221.507540562452	22968.91495127805	22621.1785361889	26433.032087802625	23274.699552698476	20698.41457316807	25019.871172475687	25574.287789482594	24600.989215243455	29373.435532762403	32395.020041513424	27252.756513846314	22538.41032901055	26740.099272628337	31405.041896153783	34910.70173919291	32380.914247623317	33681.06872171784	35919.167347059265	28681.55681724729	29374.505756065206	30895.347657767517	29271.037314703248	36814.270829604946	21631.271768599083	28945.28485422775	26444.801484514384	24716.945317564616	33962.11815070467	40490.17134527121	32556.168151389717	46809.032826331866	24488.784468402515	28412.337561466757	30466.1414243736	26148.191056220538	41853.7619052866	32399.749091429298	21572.319856495196
