OTU,Transect,Plot,Depth,value,Sample
ASV_1,E,D,B,12.64511192780469,TEITSEDB
ASV_1,E,C,B,10.88359053955598,TEITSECB
ASV_1,E,E,C,10.277673120174427,TEITSEEC
ASV_1,E,C,A,-0.6158644382781722,TEITSECA
ASV_1,D,C,C,12.357149148051414,TEITSDCC
ASV_1,B,D,A,8.065424704759652,TEITSBDA
ASV_1,E,D,C,12.226262256515026,TEITSEDC
ASV_1,E,D,A,12.145899246001916,TEITSEDA
ASV_1,D,C,D,12.140926587667623,TEITSDCD
ASV_1,C,E,B,12.114229903596593,TEITSCEB
ASV_1,D,E,C,12.077979319065404,TEITSDEC
ASV_1,B,C,D,12.059857277663008,TEITSBCD
ASV_1,E,E,B,11.706222340864938,TEITSEEB
ASV_1,C,E,C,11.607057171891208,TEITSCEC
ASV_1,D,E,D,11.91297038182987,TEITSDED
ASV_1,A,C,D,-0.6139143969780996,TEITSACD
ASV_1,C,B,D,9.213316085494986,TEITSCBD
ASV_1,D,A,C,-0.6214674977497396,TEITSDAC
ASV_1,E,C,D,10.948606844111609,TEITSECD
ASV_1,C,A,A,-0.6196087272053274,TEITSCAA
ASV_1,E,E,D,11.45309224105098,TEITSEED
ASV_1,E,D,D,11.706448031428193,TEITSEDD
ASV_1,A,D,D,8.035133093785964,TEITSADD
ASV_1,C,A,D,-0.6168352378161028,TEITSCAD
ASV_1,E,B,C,-0.6329987804101385,TEITSEBC
ASV_1,C,D,B,11.412513951580443,TEITSCDB
ASV_1,D,D,B,11.421400153554766,TEITSDDB
ASV_1,C,D,C,11.38295914518494,TEITSCDC
ASV_1,E,A,C,-0.6383147187658729,TEITSEAC
ASV_1,C,C,C,11.361526861244357,TEITSCCC
ASV_1,D,B,B,-0.651300615924201,TEITSDBB
ASV_1,E,E,A,7.619540168524525,TEITSEEA
ASV_1,E,A,A,-0.6365465702797892,TEITSEAA
ASV_1,C,D,D,11.276297527314044,TEITSCDD
ASV_1,B,A,B,3.934852802033797,TEITSBAB
ASV_1,E,C,C,11.214521211245042,TEITSECC
ASV_1,A,E,D,9.886167277026932,TEITSAED
ASV_1,E,A,D,-0.6221862012410919,TEITSEAD
ASV_1,D,B,D,-0.6457997202687444,TEITSDBD
ASV_1,C,B,B,-0.6365465702797892,TEITSCBB
ASV_1,E,A,B,-0.6277166727460544,TEITSEAB
ASV_1,B,C,C,11.067837355219943,TEITSBCC
ASV_1,C,A,B,-0.6428756914234812,TEITSCAB
ASV_1,D,E,B,11.032646516486244,TEITSDEB
ASV_1,A,E,B,7.347664553160955,TEITSAEB
ASV_1,C,C,D,10.909639638218096,TEITSCCD
ASV_1,C,E,D,10.930115514595508,TEITSCED
ASV_1,A,C,C,10.155346818090084,TEITSACC
ASV_1,A,A,D,-0.6440541188487399,TEITSAAD
ASV_1,B,D,B,3.821596720758059,TEITSBDB
ASV_1,D,C,B,7.898799206690352,TEITSDCB
ASV_1,B,B,C,-0.6329987804101385,TEITSBBC
ASV_1,C,B,A,-0.6379128712506619,TEITSCBA
ASV_1,A,C,B,10.797149986893718,TEITSACB
ASV_1,D,D,C,10.799744961377133,TEITSDDC
ASV_1,A,C,A,10.735922302086012,TEITSACA
ASV_1,B,B,B,-0.6457997202687444,TEITSBBB
ASV_1,A,E,C,7.460050964952918,TEITSAEC
ASV_1,D,B,C,4.145833528289641,TEITSDBC
ASV_1,D,A,B,5.748342438139364,TEITSDAB
ASV_1,B,D,D,8.695767898707969,TEITSBDD
ASV_1,B,E,B,10.621419793884836,TEITSBEB
ASV_1,B,A,A,-0.6444351349347692,TEITSBAA
ASV_1,D,D,A,10.620212642102958,TEITSDDA
ASV_1,E,B,A,-0.6410899545828674,TEITSEBA
ASV_1,A,B,D,-0.6485470651126457,TEITSABD
ASV_1,B,B,A,-0.6485470651126457,TEITSBBA
ASV_1,A,D,A,9.764961135362018,TEITSADA
ASV_1,D,A,A,-0.6505404346174659,TEITSDAA
ASV_1,C,A,C,-0.64348674783411,TEITSCAC
ASV_1,B,A,D,-0.6261911797330906,TEITSBAD
ASV_1,D,B,A,-0.6613964112603554,TEITSDBA
ASV_1,C,B,C,-0.6444351349347692,TEITSCBC
ASV_1,C,E,A,10.457065493536536,TEITSCEA
ASV_1,B,E,D,10.441131590337658,TEITSBED
ASV_1,D,E,A,10.43019508160956,TEITSDEA
ASV_1,B,B,D,-0.6384776784860411,TEITSBBD
ASV_1,C,D,A,10.391344338663563,TEITSCDA
ASV_1,A,B,A,-0.6584535078936944,TEITSABA
ASV_1,A,A,B,-0.6613964112603554,TEITSAAB
ASV_1,B,E,C,10.341767635789125,TEITSBEC
ASV_1,E,B,B,-0.64348674783411,TEITSEBB
ASV_1,A,E,A,8.59942522961993,TEITSAEA
ASV_1,B,D,C,10.34771298564876,TEITSBDC
ASV_1,A,D,B,7.120178534983944,TEITSADB
ASV_1,A,B,B,-0.6505404346174659,TEITSABB
ASV_1,C,C,B,10.230883048849977,TEITSCCB
ASV_1,B,C,B,10.023919162062278,TEITSBCB
ASV_1,D,D,D,10.197033116753977,TEITSDDD
ASV_1,A,B,C,-0.6524576571744332,TEITSABC
ASV_1,A,D,C,9.512325520674047,TEITSADC
ASV_1,A,A,A,-0.6616114673031581,TEITSAAA
ASV_1,B,E,A,9.865892721932083,TEITSBEA
ASV_1,D,A,D,-0.6365465702797892,TEITSDAD
ASV_1,E,B,D,-0.6283299912104128,TEITSEBD
ASV_1,A,A,C,-0.6613964112603554,TEITSAAC
ASV_1,B,A,C,-0.660913398197791,TEITSBAC
ASV_10,E,D,B,-0.6365465702797892,TEITSEDB
ASV_10,E,C,B,12.514975593903136,TEITSECB
ASV_10,E,E,C,-0.6322023869859117,TEITSEEC
ASV_10,E,C,A,12.434986214973767,TEITSECA
ASV_10,D,C,C,-0.6179997549597656,TEITSDCC
ASV_10,B,D,A,-0.6410899545828674,TEITSBDA
ASV_10,E,D,C,-0.6365465702797892,TEITSEDC
ASV_10,E,D,A,-0.6410899545828674,TEITSEDA
ASV_10,D,C,D,-0.6372187546674088,TEITSDCD
ASV_10,C,E,B,-0.659895580527698,TEITSCEB
ASV_10,D,E,C,-0.619215004707721,TEITSDEC
ASV_10,B,C,D,-0.6372187546674088,TEITSBCD
ASV_10,E,E,B,-0.6350435491465372,TEITSEEB
ASV_10,C,E,C,-0.6147889624479257,TEITSCEC
ASV_10,D,E,D,-0.6155499685796078,TEITSDED
ASV_10,A,C,D,10.260581263411327,TEITSACD
ASV_10,C,B,D,-0.6322023869859117,TEITSCBD
ASV_10,D,A,C,5.84782541820957,TEITSDAC
ASV_10,E,C,D,-0.6196087272053274,TEITSECD
ASV_10,C,A,A,11.760877507895588,TEITSCAA
ASV_10,E,E,D,-0.6384776784860411,TEITSEED
ASV_10,E,D,D,-0.6168352378161028,TEITSEDD
ASV_10,A,D,D,-0.6410899545828674,TEITSADD
ASV_10,C,A,D,-0.6168352378161028,TEITSCAD
ASV_10,E,B,C,6.757531212693907,TEITSEBC
ASV_10,C,D,B,-0.6584535078936944,TEITSCDB
ASV_10,D,D,B,-0.6410899545828674,TEITSDDB
ASV_10,C,D,C,-0.6440541188487399,TEITSCDC
ASV_10,E,A,C,6.617625559555398,TEITSEAC
ASV_10,C,C,C,-0.6365465702797892,TEITSCCC
ASV_10,D,B,B,-0.651300615924201,TEITSDBB
ASV_10,E,E,A,-0.6457997202687444,TEITSEEA
ASV_10,E,A,A,-0.6365465702797892,TEITSEAA
ASV_10,C,D,D,-0.6162129098709088,TEITSCDD
ASV_10,B,A,B,5.33313236052758,TEITSBAB
ASV_10,E,C,C,-0.6196087272053274,TEITSECC
ASV_10,A,E,D,-0.6485470651126457,TEITSAED
ASV_10,E,A,D,-0.6221862012410919,TEITSEAD
ASV_10,D,B,D,-0.6457997202687444,TEITSDBD
ASV_10,C,B,B,-0.6365465702797892,TEITSCBB
ASV_10,E,A,B,4.7140258451251675,TEITSEAB
ASV_10,B,C,C,-0.6428756914234812,TEITSBCC
ASV_10,C,A,B,4.251666387589902,TEITSCAB
ASV_10,D,E,B,-0.64348674783411,TEITSDEB
