OTU,Transect,Plot,Depth,value,Sample
ASV_1,E,C,B,10.88359053955598,TEITSECB
ASV_1,E,C,A,-0.6158644382781722,TEITSECA
ASV_1,D,C,B,7.898799206690352,TEITSDCB
ASV_1,A,C,B,10.797149986893718,TEITSACB
ASV_1,A,C,A,10.735922302086012,TEITSACA
ASV_1,C,C,B,10.230883048849977,TEITSCCB
ASV_1,B,C,B,10.023919162062278,TEITSBCB
ASV_10,E,C,B,12.514975593903136,TEITSECB
ASV_10,E,C,A,12.434986214973767,TEITSECA
ASV_10,D,C,B,-0.6440541188487399,TEITSDCB
ASV_10,A,C,B,3.5493288877940135,TEITSACB
ASV_10,A,C,A,-0.659895580527698,TEITSACA
ASV_10,C,C,B,-0.6457997202687444,TEITSCCB
ASV_10,B,C,B,-0.6155499685796078,TEITSBCB
ASV_4,E,C,B,9.405024968367453,TEITSECB
ASV_4,E,C,A,6.314750089756309,TEITSECA
ASV_4,D,C,B,7.55504124256214,TEITSDCB
ASV_4,A,C,B,9.758980705494892,TEITSACB
ASV_4,A,C,A,-0.659895580527698,TEITSACA
ASV_4,C,C,B,6.426622145346366,TEITSCCB
ASV_4,B,C,B,5.931694143539296,TEITSBCB
ASV_22,E,C,B,-0.6261911797330906,TEITSECB
ASV_22,E,C,A,-0.6158644382781722,TEITSECA
ASV_22,D,C,B,-0.6440541188487399,TEITSDCB
ASV_22,A,C,B,-0.6468369156417797,TEITSACB
ASV_22,A,C,A,-0.659895580527698,TEITSACA
ASV_22,C,C,B,-0.6457997202687444,TEITSCCB
ASV_22,B,C,B,-0.6155499685796078,TEITSBCB
ASV_3,E,C,B,-0.6261911797330906,TEITSECB
ASV_3,E,C,A,5.676488217133306,TEITSECA
ASV_3,D,C,B,10.816766424505419,TEITSDCB
ASV_3,A,C,B,9.798155039996695,TEITSACB
ASV_3,A,C,A,-0.659895580527698,TEITSACA
ASV_3,C,C,B,-0.6457997202687444,TEITSCCB
ASV_3,B,C,B,-0.6155499685796078,TEITSBCB
ASV_5,E,C,B,-0.6261911797330906,TEITSECB
ASV_5,E,C,A,-0.6158644382781722,TEITSECA
ASV_5,D,C,B,0.7959159631096915,TEITSDCB
ASV_5,A,C,B,-0.6468369156417797,TEITSACB
ASV_5,A,C,A,-0.659895580527698,TEITSACA
ASV_5,C,C,B,-0.6457997202687444,TEITSCCB
ASV_5,B,C,B,-0.6155499685796078,TEITSBCB
ASV_6,E,C,B,-0.6261911797330906,TEITSECB
ASV_6,E,C,A,-0.6158644382781722,TEITSECA
ASV_6,D,C,B,-0.6440541188487399,TEITSDCB
ASV_6,A,C,B,6.96288685033033,TEITSACB
ASV_6,A,C,A,5.29407680688319,TEITSACA
ASV_6,C,C,B,6.61252066332867,TEITSCCB
ASV_6,B,C,B,-0.6155499685796078,TEITSBCB
ASV_24,E,C,B,8.804929864650212,TEITSECB
ASV_24,E,C,A,-0.6158644382781722,TEITSECA
ASV_24,D,C,B,-0.6440541188487399,TEITSDCB
ASV_24,A,C,B,7.266865337407495,TEITSACB
ASV_24,A,C,A,7.927125098487437,TEITSACA
ASV_24,C,C,B,-0.6457997202687444,TEITSCCB
ASV_24,B,C,B,-0.6155499685796078,TEITSBCB
ASV_28,E,C,B,-0.6261911797330906,TEITSECB
ASV_28,E,C,A,-0.6158644382781722,TEITSECA
ASV_28,D,C,B,-0.6440541188487399,TEITSDCB
ASV_28,A,C,B,-0.6468369156417797,TEITSACB
ASV_28,A,C,A,7.107960911555564,TEITSACA
ASV_28,C,C,B,-0.6457997202687444,TEITSCCB
ASV_28,B,C,B,-0.6155499685796078,TEITSBCB
ASV_2,E,C,B,5.759899624657166,TEITSECB
ASV_2,E,C,A,-0.6158644382781722,TEITSECA
ASV_2,D,C,B,4.496493303504019,TEITSDCB
ASV_2,A,C,B,-0.6468369156417797,TEITSACB
ASV_2,A,C,A,5.875867017443948,TEITSACA
ASV_2,C,C,B,9.768096904989633,TEITSCCB
ASV_2,B,C,B,-0.6155499685796078,TEITSBCB
ASV_38,E,C,B,-0.6261911797330906,TEITSECB
ASV_38,E,C,A,-0.6158644382781722,TEITSECA
ASV_38,D,C,B,-0.6440541188487399,TEITSDCB
ASV_38,A,C,B,-0.6468369156417797,TEITSACB
ASV_38,A,C,A,-0.659895580527698,TEITSACA
ASV_38,C,C,B,-0.6457997202687444,TEITSCCB
ASV_38,B,C,B,-0.6155499685796078,TEITSBCB
ASV_15,E,C,B,-0.6261911797330906,TEITSECB
ASV_15,E,C,A,-0.6158644382781722,TEITSECA
ASV_15,D,C,B,-0.6440541188487399,TEITSDCB
ASV_15,A,C,B,-0.6468369156417797,TEITSACB
ASV_15,A,C,A,-0.659895580527698,TEITSACA
ASV_15,C,C,B,-0.6457997202687444,TEITSCCB
ASV_15,B,C,B,6.391949330457846,TEITSBCB
ASV_25,E,C,B,-0.6261911797330906,TEITSECB
ASV_25,E,C,A,-0.6158644382781722,TEITSECA
ASV_25,D,C,B,-0.6440541188487399,TEITSDCB
ASV_25,A,C,B,-0.6468369156417797,TEITSACB
ASV_25,A,C,A,-0.659895580527698,TEITSACA
ASV_25,C,C,B,-0.6457997202687444,TEITSCCB
ASV_25,B,C,B,-0.6155499685796078,TEITSBCB
ASV_20,E,C,B,-0.6261911797330906,TEITSECB
ASV_20,E,C,A,-0.6158644382781722,TEITSECA
ASV_20,D,C,B,-0.6440541188487399,TEITSDCB
ASV_20,A,C,B,-0.6468369156417797,TEITSACB
ASV_20,A,C,A,-0.659895580527698,TEITSACA
ASV_20,C,C,B,-0.6457997202687444,TEITSCCB
ASV_20,B,C,B,-0.6155499685796078,TEITSBCB
ASV_23,E,C,B,-0.6261911797330906,TEITSECB
ASV_23,E,C,A,-0.6158644382781722,TEITSECA
ASV_23,D,C,B,-0.6440541188487399,TEITSDCB
ASV_23,A,C,B,-0.6468369156417797,TEITSACB
ASV_23,A,C,A,-0.659895580527698,TEITSACA
ASV_23,C,C,B,-0.6457997202687444,TEITSCCB
ASV_23,B,C,B,-0.6155499685796078,TEITSBCB
ASV_30,E,C,B,-0.6261911797330906,TEITSECB
ASV_30,E,C,A,-0.6158644382781722,TEITSECA
ASV_30,D,C,B,5.383027641342705,TEITSDCB
ASV_30,A,C,B,7.204488318125387,TEITSACB
ASV_30,A,C,A,-0.659895580527698,TEITSACA
ASV_30,C,C,B,-0.6457997202687444,TEITSCCB
ASV_30,B,C,B,-0.6155499685796078,TEITSBCB
ASV_27,E,C,B,-0.6261911797330906,TEITSECB
ASV_27,E,C,A,-0.6158644382781722,TEITSECA
ASV_27,D,C,B,-0.6440541188487399,TEITSDCB
ASV_27,A,C,B,-0.6468369156417797,TEITSACB
ASV_27,A,C,A,-0.659895580527698,TEITSACA
ASV_27,C,C,B,-0.6457997202687444,TEITSCCB
ASV_27,B,C,B,-0.6155499685796078,TEITSBCB
ASV_32,E,C,B,5.816983769064768,TEITSECB
ASV_32,E,C,A,6.190931960617117,TEITSECA
ASV_32,D,C,B,7.308982879556764,TEITSDCB
ASV_32,A,C,B,4.054472442660375,TEITSACB
ASV_32,A,C,A,4.813478182429812,TEITSACA
ASV_32,C,C,B,-0.6457997202687444,TEITSCCB
ASV_32,B,C,B,-0.6155499685796078,TEITSBCB
ASV_11,E,C,B,-0.6261911797330906,TEITSECB
ASV_11,E,C,A,-0.6158644382781722,TEITSECA
ASV_11,D,C,B,1.5528865986638483,TEITSDCB
ASV_11,A,C,B,9.339352569242383,TEITSACB
ASV_11,A,C,A,8.139422350968006,TEITSACA
ASV_11,C,C,B,-0.6457997202687444,TEITSCCB
ASV_11,B,C,B,-0.6155499685796078,TEITSBCB
ASV_26,E,C,B,-0.6261911797330906,TEITSECB
ASV_26,E,C,A,-0.6158644382781722,TEITSECA
ASV_26,D,C,B,10.63678632056193,TEITSDCB
