Source,Target,correlation,module1,module2,adj_pvalue,edge_id,edge_id2
bact_ASV_1,bact_ASV_3,0.00186158007211015,blue,turquoise,1.282349682934673e-4,bact_ASV_1 bact_ASV_3,bact_ASV_3 bact_ASV_1
bact_ASV_1,bact_ASV_10,0.34189744360029733,blue,blue,1.9209300601269233e-80,bact_ASV_1 bact_ASV_10,bact_ASV_10 bact_ASV_1
bact_ASV_1,bact_ASV_8,0.14793863681908792,blue,blue,8.048917327010494e-31,bact_ASV_1 bact_ASV_8,bact_ASV_8 bact_ASV_1
bact_ASV_1,bact_ASV_11,0.0859293602461375,blue,turquoise,9.814238195272248e-25,bact_ASV_1 bact_ASV_11,bact_ASV_11 bact_ASV_1
bact_ASV_1,bact_ASV_17,0.2718157629039274,blue,blue,7.158766972540157e-50,bact_ASV_1 bact_ASV_17,bact_ASV_17 bact_ASV_1
bact_ASV_1,bact_ASV_9,0.02649131990208162,blue,turquoise,7.087987418208146e-10,bact_ASV_1 bact_ASV_9,bact_ASV_9 bact_ASV_1
bact_ASV_1,bact_ASV_13,0.07552836708312899,blue,turquoise,9.673629338505479e-19,bact_ASV_1 bact_ASV_13,bact_ASV_13 bact_ASV_1
bact_ASV_1,bact_ASV_24,0.02669627183829764,blue,grey,2.965505682691542e-11,bact_ASV_1 bact_ASV_24,bact_ASV_24 bact_ASV_1
bact_ASV_1,bact_ASV_21,0.00763609101525905,blue,grey,4.5668345944731736e-8,bact_ASV_1 bact_ASV_21,bact_ASV_21 bact_ASV_1
bact_ASV_1,bact_ASV_78,0.02649131990208162,blue,turquoise,7.08629899814664e-10,bact_ASV_1 bact_ASV_78,bact_ASV_78 bact_ASV_1
bact_ASV_1,bact_ASV_41,0.1483918532104307,blue,blue,5.860139350831754e-36,bact_ASV_1 bact_ASV_41,bact_ASV_41 bact_ASV_1
bact_ASV_1,bact_ASV_80,0.00763657663890453,blue,blue,8.737303203341896e-4,bact_ASV_1 bact_ASV_80,bact_ASV_80 bact_ASV_1
bact_ASV_1,bact_ASV_26,0.00332001769821357,blue,blue,5.626233307218598e-7,bact_ASV_1 bact_ASV_26,bact_ASV_26 bact_ASV_1
bact_ASV_1,bact_ASV_42,0.01744612452027482,blue,blue,2.2520534741431515e-10,bact_ASV_1 bact_ASV_42,bact_ASV_42 bact_ASV_1
bact_ASV_1,bact_ASV_45,0.00300238738895693,blue,blue,2.584951340865228e-5,bact_ASV_1 bact_ASV_45,bact_ASV_45 bact_ASV_1
bact_ASV_1,bact_ASV_16,0.00382763557630262,blue,turquoise,3.502416275633825e-6,bact_ASV_1 bact_ASV_16,bact_ASV_16 bact_ASV_1
bact_ASV_1,bact_ASV_37,0.00112163622119099,blue,blue,1.3756124492431178e-4,bact_ASV_1 bact_ASV_37,bact_ASV_37 bact_ASV_1
bact_ASV_1,bact_ASV_38,0.05089918437541685,blue,turquoise,2.841659966970324e-14,bact_ASV_1 bact_ASV_38,bact_ASV_38 bact_ASV_1
bact_ASV_1,bact_ASV_81,0.0039105468535809,blue,blue,1.607973936511063e-4,bact_ASV_1 bact_ASV_81,bact_ASV_81 bact_ASV_1
bact_ASV_1,bact_ASV_33,0.02649131990208162,blue,turquoise,7.084611382286162e-10,bact_ASV_1 bact_ASV_33,bact_ASV_33 bact_ASV_1
bact_ASV_1,bact_ASV_73,0.09790680287616409,blue,turquoise,3.7571414047398343e-26,bact_ASV_1 bact_ASV_73,bact_ASV_73 bact_ASV_1
bact_ASV_1,bact_ASV_48,0.0017235413877047,blue,turquoise,4.063479242233337e-5,bact_ASV_1 bact_ASV_48,bact_ASV_48 bact_ASV_1
bact_ASV_1,bact_ASV_69,0.01016276443371421,blue,blue,2.2365440104258617e-7,bact_ASV_1 bact_ASV_69,bact_ASV_69 bact_ASV_1
bact_ASV_1,bact_ASV_86,0.00346717437808212,blue,grey,6.882702914622533e-6,bact_ASV_1 bact_ASV_86,bact_ASV_86 bact_ASV_1
bact_ASV_1,bact_ASV_87,0.08002010479318984,blue,blue,1.550211851075439e-21,bact_ASV_1 bact_ASV_87,bact_ASV_87 bact_ASV_1
bact_ASV_1,bact_ASV_102,0.00713680668511072,blue,turquoise,1.482745693747567e-7,bact_ASV_1 bact_ASV_102,bact_ASV_102 bact_ASV_1
bact_ASV_1,bact_ASV_75,0.14287639059226226,blue,turquoise,1.5697935477982129e-37,bact_ASV_1 bact_ASV_75,bact_ASV_75 bact_ASV_1
bact_ASV_1,bact_ASV_65,0.02649131990208162,blue,turquoise,7.082924570052283e-10,bact_ASV_1 bact_ASV_65,bact_ASV_65 bact_ASV_1
bact_ASV_1,bact_ASV_59,0.06780293751965329,blue,blue,1.1322537136409867e-22,bact_ASV_1 bact_ASV_59,bact_ASV_59 bact_ASV_1
bact_ASV_1,bact_ASV_93,0.08230690137171862,blue,blue,2.0289030053393472e-23,bact_ASV_1 bact_ASV_93,bact_ASV_93 bact_ASV_1
bact_ASV_1,bact_ASV_91,0.04288092445415116,blue,blue,9.441557910127074e-16,bact_ASV_1 bact_ASV_91,bact_ASV_91 bact_ASV_1
bact_ASV_1,bact_ASV_107,9.68168703538148e-4,blue,turquoise,3.62486924194263e-4,bact_ASV_1 bact_ASV_107,bact_ASV_107 bact_ASV_1
bact_ASV_1,bact_ASV_124,0.00169326331601221,blue,grey,9.685544046602036e-6,bact_ASV_1 bact_ASV_124,bact_ASV_124 bact_ASV_1
bact_ASV_1,bact_ASV_98,0.00347426751624991,blue,brown,2.709482398218301e-6,bact_ASV_1 bact_ASV_98,bact_ASV_98 bact_ASV_1
bact_ASV_1,bact_ASV_143,0.04021827417783629,blue,blue,7.579017654425275e-19,bact_ASV_1 bact_ASV_143,bact_ASV_143 bact_ASV_1
bact_ASV_1,bact_ASV_140,0.04229177353787355,blue,blue,9.706093828059896e-16,bact_ASV_1 bact_ASV_140,bact_ASV_140 bact_ASV_1
bact_ASV_1,bact_ASV_148,0.02649131990208162,blue,turquoise,7.081238560871123e-10,bact_ASV_1 bact_ASV_148,bact_ASV_148 bact_ASV_1
bact_ASV_1,arc_ASV_3,0.0037264111924308,blue,turquoise,2.3515329507184905e-5,bact_ASV_1 arc_ASV_3,arc_ASV_3 bact_ASV_1
bact_ASV_1,arc_ASV_6,0.00772825956558644,blue,blue,5.985581735055468e-10,bact_ASV_1 arc_ASV_6,arc_ASV_6 bact_ASV_1
bact_ASV_1,fun_ASV_1,0.00702826396777967,blue,grey,2.528055648078182e-7,bact_ASV_1 fun_ASV_1,fun_ASV_1 bact_ASV_1
bact_ASV_1,fun_ASV_24,0.00474467881269824,blue,grey,2.001113250443719e-4,bact_ASV_1 fun_ASV_24,fun_ASV_24 bact_ASV_1
bact_ASV_1,fun_ASV_2,0.04288396964128621,blue,blue,1.2788128802687058e-15,bact_ASV_1 fun_ASV_2,fun_ASV_2 bact_ASV_1
bact_ASV_1,fun_ASV_15,0.01227720825612658,blue,turquoise,8.347497932458522e-7,bact_ASV_1 fun_ASV_15,fun_ASV_15 bact_ASV_1
bact_ASV_1,fun_ASV_20,0.00344501324515109,blue,brown,1.3289015137283956e-5,bact_ASV_1 fun_ASV_20,fun_ASV_20 bact_ASV_1
bact_ASV_1,fun_ASV_36,3.9231862447627674e-4,blue,turquoise,2.3620001030031837e-4,bact_ASV_1 fun_ASV_36,fun_ASV_36 bact_ASV_1
bact_ASV_1,fun_ASV_49,0.02636134958167054,blue,turquoise,2.945873108253782e-11,bact_ASV_1 fun_ASV_49,fun_ASV_49 bact_ASV_1
bact_ASV_1,fun_ASV_13,0.01236634684131564,blue,blue,1.6386892626482824e-10,bact_ASV_1 fun_ASV_13,fun_ASV_13 bact_ASV_1
bact_ASV_1,fun_ASV_17,0.00771112053006084,blue,blue,8.77144479077897e-8,bact_ASV_1 fun_ASV_17,fun_ASV_17 bact_ASV_1
bact_ASV_1,fun_ASV_82,0.00521117445703428,blue,blue,6.1856592275084285e-6,bact_ASV_1 fun_ASV_82,fun_ASV_82 bact_ASV_1
bact_ASV_1,fun_ASV_8,0.01051261355534263,blue,blue,5.116966809945126e-7,bact_ASV_1 fun_ASV_8,fun_ASV_8 bact_ASV_1
bact_ASV_1,fun_ASV_21,0.01000410272907896,blue,blue,4.365866911286216e-6,bact_ASV_1 fun_ASV_21,fun_ASV_21 bact_ASV_1
bact_ASV_1,fun_ASV_33,0.00475124886053103,blue,grey,2.0468640770959462e-6,bact_ASV_1 fun_ASV_33,fun_ASV_33 bact_ASV_1
bact_ASV_1,fun_ASV_50,7.164663151312253e-4,blue,brown,2.4832412045478657e-4,bact_ASV_1 fun_ASV_50,fun_ASV_50 bact_ASV_1
bact_ASV_1,fun_ASV_85,0.00832537124081096,blue,turquoise,2.072613523440469e-5,bact_ASV_1 fun_ASV_85,fun_ASV_85 bact_ASV_1
bact_ASV_1,fun_ASV_81,0.00769768937886907,blue,turquoise,2.1456658951407847e-4,bact_ASV_1 fun_ASV_81,fun_ASV_81 bact_ASV_1
bact_ASV_1,fun_ASV_70,0.0263430606697187,blue,turquoise,7.84304368987385e-10,bact_ASV_1 fun_ASV_70,fun_ASV_70 bact_ASV_1
bact_ASV_1,fun_ASV_127,0.00772465438507285,blue,blue,8.49057769448968e-8,bact_ASV_1 fun_ASV_127,fun_ASV_127 bact_ASV_1
bact_ASV_1,fun_ASV_103,0.00729367480079458,blue,turquoise,5.4278776034314675e-8,bact_ASV_1 fun_ASV_103,fun_ASV_103 bact_ASV_1
bact_ASV_1,fun_ASV_114,0.00139811832687786,blue,brown,2.4652714553316177e-4,bact_ASV_1 fun_ASV_114,fun_ASV_114 bact_ASV_1
bact_ASV_1,fun_ASV_69,0.00772922227263146,blue,blue,8.403259218256184e-8,bact_ASV_1 fun_ASV_69,fun_ASV_69 bact_ASV_1
bact_ASV_1,fun_ASV_141,7.001139757821038e-4,blue,grey,1.297162979265326e-4,bact_ASV_1 fun_ASV_141,fun_ASV_141 bact_ASV_1
bact_ASV_1,fun_ASV_107,0.00339796578389986,blue,grey,2.1420289170839017e-6,bact_ASV_1 fun_ASV_107,fun_ASV_107 bact_ASV_1
