Source,Target,correlation,module1,module2,adj_pvalue,edge_id,edge_id2
bact_ASV_1,bact_ASV_5,0.02596399105632734,turquoise,turquoise,2.852770090956377e-4,bact_ASV_1 bact_ASV_5,bact_ASV_5 bact_ASV_1
bact_ASV_1,bact_ASV_3,0.02377796167278909,turquoise,turquoise,3.0370241818155495e-11,bact_ASV_1 bact_ASV_3,bact_ASV_3 bact_ASV_1
bact_ASV_1,bact_ASV_10,0.29988702718911336,turquoise,turquoise,3.1914227600183165e-58,bact_ASV_1 bact_ASV_10,bact_ASV_10 bact_ASV_1
bact_ASV_1,bact_ASV_8,0.2884271019378332,turquoise,turquoise,5.3716040060213215e-64,bact_ASV_1 bact_ASV_8,bact_ASV_8 bact_ASV_1
bact_ASV_1,bact_ASV_36,0.01109115925483943,turquoise,grey,2.917832359659654e-9,bact_ASV_1 bact_ASV_36,bact_ASV_36 bact_ASV_1
bact_ASV_1,bact_ASV_11,0.0925238342361072,turquoise,turquoise,8.641277684262697e-27,bact_ASV_1 bact_ASV_11,bact_ASV_11 bact_ASV_1
bact_ASV_1,bact_ASV_17,0.1805893401552127,turquoise,turquoise,2.522319495698995e-35,bact_ASV_1 bact_ASV_17,bact_ASV_17 bact_ASV_1
bact_ASV_1,bact_ASV_9,0.13760617491702556,turquoise,turquoise,7.201178858300747e-31,bact_ASV_1 bact_ASV_9,bact_ASV_9 bact_ASV_1
bact_ASV_1,bact_ASV_13,0.01286140762881314,turquoise,turquoise,4.01656131236998e-6,bact_ASV_1 bact_ASV_13,bact_ASV_13 bact_ASV_1
bact_ASV_1,bact_ASV_24,0.04983187056384242,turquoise,turquoise,1.4363826722119742e-16,bact_ASV_1 bact_ASV_24,bact_ASV_24 bact_ASV_1
bact_ASV_1,bact_ASV_21,0.08599637461049162,turquoise,turquoise,1.3863137241627702e-24,bact_ASV_1 bact_ASV_21,bact_ASV_21 bact_ASV_1
bact_ASV_1,bact_ASV_22,0.01625974038195127,turquoise,turquoise,1.4896227335625946e-7,bact_ASV_1 bact_ASV_22,bact_ASV_22 bact_ASV_1
bact_ASV_1,bact_ASV_50,0.00938516111577654,turquoise,turquoise,5.204127765489442e-4,bact_ASV_1 bact_ASV_50,bact_ASV_50 bact_ASV_1
bact_ASV_1,bact_ASV_78,0.08436621827254114,turquoise,turquoise,6.282563644146106e-14,bact_ASV_1 bact_ASV_78,bact_ASV_78 bact_ASV_1
bact_ASV_1,bact_ASV_80,0.00896076708329628,turquoise,grey,6.070612526611531e-5,bact_ASV_1 bact_ASV_80,bact_ASV_80 bact_ASV_1
bact_ASV_1,bact_ASV_26,0.00739082675209739,turquoise,grey,7.730566216158357e-5,bact_ASV_1 bact_ASV_26,bact_ASV_26 bact_ASV_1
bact_ASV_1,bact_ASV_47,0.01458900338742098,turquoise,turquoise,2.2428514960054673e-8,bact_ASV_1 bact_ASV_47,bact_ASV_47 bact_ASV_1
bact_ASV_1,bact_ASV_38,0.2456270718353183,turquoise,turquoise,1.1977965720773642e-47,bact_ASV_1 bact_ASV_38,bact_ASV_38 bact_ASV_1
bact_ASV_1,bact_ASV_58,0.1905328927089437,turquoise,turquoise,3.677632936937013e-38,bact_ASV_1 bact_ASV_58,bact_ASV_58 bact_ASV_1
bact_ASV_1,bact_ASV_49,0.25791199142349813,turquoise,turquoise,1.4224528029535519e-49,bact_ASV_1 bact_ASV_49,bact_ASV_49 bact_ASV_1
