Source,Target,correlation,module1,module2,adj_pvalue,edge_id,edge_id2
bact_ASV_1,bact_ASV_3,0.00300225179947326,blue,turquoise,7.454136777218259e-4,bact_ASV_1 bact_ASV_3,bact_ASV_3 bact_ASV_1
bact_ASV_1,bact_ASV_10,0.16448393885862175,blue,blue,1.3163270535628173e-39,bact_ASV_1 bact_ASV_10,bact_ASV_10 bact_ASV_1
bact_ASV_1,bact_ASV_8,0.10442795741443581,blue,blue,2.0766756182869763e-23,bact_ASV_1 bact_ASV_8,bact_ASV_8 bact_ASV_1
bact_ASV_1,bact_ASV_36,0.0062142119962307,blue,grey,3.987110028012105e-6,bact_ASV_1 bact_ASV_36,bact_ASV_36 bact_ASV_1
bact_ASV_1,bact_ASV_11,0.11353467818514906,blue,blue,1.6880782860976735e-27,bact_ASV_1 bact_ASV_11,bact_ASV_11 bact_ASV_1
bact_ASV_1,bact_ASV_17,0.22490120507865316,blue,blue,3.99636246030809e-55,bact_ASV_1 bact_ASV_17,bact_ASV_17 bact_ASV_1
bact_ASV_1,bact_ASV_9,0.00982275259222418,blue,blue,3.025304156795019e-9,bact_ASV_1 bact_ASV_9,bact_ASV_9 bact_ASV_1
bact_ASV_1,bact_ASV_13,0.068609827996476,blue,blue,1.8101242237169135e-19,bact_ASV_1 bact_ASV_13,bact_ASV_13 bact_ASV_1
bact_ASV_1,bact_ASV_24,0.10014667963963592,blue,blue,3.38590828248346e-22,bact_ASV_1 bact_ASV_24,bact_ASV_24 bact_ASV_1
bact_ASV_1,bact_ASV_21,0.02845980662385357,blue,blue,1.2900193911597388e-10,bact_ASV_1 bact_ASV_21,bact_ASV_21 bact_ASV_1
bact_ASV_1,bact_ASV_35,0.01124668802107672,blue,turquoise,2.594874332484995e-12,bact_ASV_1 bact_ASV_35,bact_ASV_35 bact_ASV_1
bact_ASV_1,bact_ASV_78,0.02451746655917587,blue,blue,9.133615091686064e-8,bact_ASV_1 bact_ASV_78,bact_ASV_78 bact_ASV_1
bact_ASV_1,bact_ASV_41,0.06831228558896382,blue,grey,1.0752279111643656e-25,bact_ASV_1 bact_ASV_41,bact_ASV_41 bact_ASV_1
bact_ASV_1,bact_ASV_42,0.00297293751003352,blue,grey,3.076805657945915e-6,bact_ASV_1 bact_ASV_42,bact_ASV_42 bact_ASV_1
bact_ASV_1,bact_ASV_16,0.00418888987472703,blue,turquoise,1.5881062032872233e-5,bact_ASV_1 bact_ASV_16,bact_ASV_16 bact_ASV_1
bact_ASV_1,bact_ASV_38,0.19777514616083292,blue,blue,6.546542967171171e-40,bact_ASV_1 bact_ASV_38,bact_ASV_38 bact_ASV_1
bact_ASV_1,bact_ASV_71,0.00795101255466868,blue,blue,5.725259266796296e-9,bact_ASV_1 bact_ASV_71,bact_ASV_71 bact_ASV_1
bact_ASV_1,bact_ASV_33,0.02451746655917587,blue,blue,9.131525019582703e-8,bact_ASV_1 bact_ASV_33,bact_ASV_33 bact_ASV_1
bact_ASV_1,bact_ASV_73,0.05808220601393885,blue,blue,1.3916828557354933e-15,bact_ASV_1 bact_ASV_73,bact_ASV_73 bact_ASV_1
bact_ASV_1,bact_ASV_68,0.02008810084543556,blue,blue,9.920516639407554e-9,bact_ASV_1 bact_ASV_68,bact_ASV_68 bact_ASV_1
bact_ASV_1,bact_ASV_84,0.00429646147754513,blue,brown,1.0361466444262795e-4,bact_ASV_1 bact_ASV_84,bact_ASV_84 bact_ASV_1
bact_ASV_1,bact_ASV_52,0.00249478292174316,blue,turquoise,8.717852564716828e-4,bact_ASV_1 bact_ASV_52,bact_ASV_52 bact_ASV_1
bact_ASV_1,bact_ASV_82,0.00124626492945435,blue,grey,4.974321082763932e-4,bact_ASV_1 bact_ASV_82,bact_ASV_82 bact_ASV_1
bact_ASV_1,bact_ASV_74,0.00337847745206421,blue,turquoise,2.2507470550295843e-6,bact_ASV_1 bact_ASV_74,bact_ASV_74 bact_ASV_1
bact_ASV_1,bact_ASV_79,0.00206413962814998,blue,turquoise,6.456596744229414e-4,bact_ASV_1 bact_ASV_79,bact_ASV_79 bact_ASV_1
