Source,Target,correlation,module1,module2,adj_pvalue,edge_id,edge_id2
bact_ASV_1,bact_ASV_10,0.29940015970527323,turquoise,turquoise,1.1162369417649663e-55,bact_ASV_1 bact_ASV_10,bact_ASV_10 bact_ASV_1
bact_ASV_1,bact_ASV_8,0.272020438233665,turquoise,turquoise,2.8007699614346423e-47,bact_ASV_1 bact_ASV_8,bact_ASV_8 bact_ASV_1
bact_ASV_1,bact_ASV_36,0.01773413600942846,turquoise,turquoise,1.2507823798954915e-9,bact_ASV_1 bact_ASV_36,bact_ASV_36 bact_ASV_1
bact_ASV_1,bact_ASV_11,0.10955455191167734,turquoise,turquoise,4.457918671514939e-15,bact_ASV_1 bact_ASV_11,bact_ASV_11 bact_ASV_1
bact_ASV_1,bact_ASV_17,0.3108144037589458,turquoise,turquoise,5.308722389766081e-59,bact_ASV_1 bact_ASV_17,bact_ASV_17 bact_ASV_1
bact_ASV_1,bact_ASV_9,0.21389396894274632,turquoise,turquoise,1.001256000684509e-40,bact_ASV_1 bact_ASV_9,bact_ASV_9 bact_ASV_1
bact_ASV_1,bact_ASV_13,0.13189812213882748,turquoise,turquoise,2.2235419857139435e-26,bact_ASV_1 bact_ASV_13,bact_ASV_13 bact_ASV_1
bact_ASV_1,bact_ASV_24,0.11375829307759738,turquoise,turquoise,4.845658872781199e-21,bact_ASV_1 bact_ASV_24,bact_ASV_24 bact_ASV_1
bact_ASV_1,bact_ASV_21,0.0711114223248564,turquoise,turquoise,5.356147258400164e-10,bact_ASV_1 bact_ASV_21,bact_ASV_21 bact_ASV_1
bact_ASV_1,bact_ASV_14,0.07131726544282238,turquoise,blue,9.5859802458972e-7,bact_ASV_1 bact_ASV_14,bact_ASV_14 bact_ASV_1
bact_ASV_1,bact_ASV_50,0.12317688613737388,turquoise,turquoise,2.6415273414052877e-15,bact_ASV_1 bact_ASV_50,bact_ASV_50 bact_ASV_1
bact_ASV_1,bact_ASV_78,0.25837190584963254,turquoise,turquoise,2.581421710837102e-49,bact_ASV_1 bact_ASV_78,bact_ASV_78 bact_ASV_1
bact_ASV_1,bact_ASV_47,0.03668817249733388,turquoise,turquoise,3.910443459500767e-5,bact_ASV_1 bact_ASV_47,bact_ASV_47 bact_ASV_1
bact_ASV_1,bact_ASV_38,0.2650060305028605,turquoise,turquoise,1.20210597287635e-45,bact_ASV_1 bact_ASV_38,bact_ASV_38 bact_ASV_1
bact_ASV_1,bact_ASV_58,0.22106726000972235,turquoise,turquoise,2.6834256028265988e-27,bact_ASV_1 bact_ASV_58,bact_ASV_58 bact_ASV_1
bact_ASV_1,bact_ASV_49,0.11907232147638935,turquoise,turquoise,3.4558497810156227e-17,bact_ASV_1 bact_ASV_49,bact_ASV_49 bact_ASV_1
bact_ASV_1,bact_ASV_89,0.18722137631564323,turquoise,turquoise,1.19323816741695e-35,bact_ASV_1 bact_ASV_89,bact_ASV_89 bact_ASV_1
bact_ASV_1,bact_ASV_71,0.05949088543347936,turquoise,turquoise,4.347306590163195e-9,bact_ASV_1 bact_ASV_71,bact_ASV_71 bact_ASV_1
bact_ASV_1,bact_ASV_53,0.03153596105019865,turquoise,blue,2.516774929011595e-7,bact_ASV_1 bact_ASV_53,bact_ASV_53 bact_ASV_1
bact_ASV_1,bact_ASV_33,0.2642068648043994,turquoise,turquoise,6.840305764227624e-54,bact_ASV_1 bact_ASV_33,bact_ASV_33 bact_ASV_1
bact_ASV_1,bact_ASV_73,0.03861451900040608,turquoise,turquoise,1.7668907627881298e-7,bact_ASV_1 bact_ASV_73,bact_ASV_73 bact_ASV_1
bact_ASV_1,bact_ASV_48,0.02961325295120338,turquoise,grey,1.9926880725387326e-9,bact_ASV_1 bact_ASV_48,bact_ASV_48 bact_ASV_1
bact_ASV_1,bact_ASV_68,0.09378048652450316,turquoise,turquoise,1.30538702402499e-12,bact_ASV_1 bact_ASV_68,bact_ASV_68 bact_ASV_1
bact_ASV_1,bact_ASV_43,0.04588666532681574,turquoise,turquoise,1.142458313748078e-5,bact_ASV_1 bact_ASV_43,bact_ASV_43 bact_ASV_1
bact_ASV_1,bact_ASV_84,0.17984255660781845,turquoise,turquoise,1.1502701933534529e-46,bact_ASV_1 bact_ASV_84,bact_ASV_84 bact_ASV_1
bact_ASV_1,bact_ASV_69,0.09654686396485128,turquoise,turquoise,2.3978358874657296e-13,bact_ASV_1 bact_ASV_69,bact_ASV_69 bact_ASV_1
bact_ASV_1,bact_ASV_119,0.10295801033981287,turquoise,turquoise,8.559868215283912e-13,bact_ASV_1 bact_ASV_119,bact_ASV_119 bact_ASV_1
bact_ASV_1,bact_ASV_74,0.01698448017835678,turquoise,grey,3.151765617959102e-4,bact_ASV_1 bact_ASV_74,bact_ASV_74 bact_ASV_1
bact_ASV_1,bact_ASV_87,0.01196032090289765,turquoise,grey,3.5239009543864004e-10,bact_ASV_1 bact_ASV_87,bact_ASV_87 bact_ASV_1
bact_ASV_1,bact_ASV_75,0.3055463996542276,turquoise,turquoise,3.541393737551426e-72,bact_ASV_1 bact_ASV_75,bact_ASV_75 bact_ASV_1
bact_ASV_1,bact_ASV_54,0.00120707732551483,turquoise,grey,5.302609768326073e-4,bact_ASV_1 bact_ASV_54,bact_ASV_54 bact_ASV_1
bact_ASV_1,bact_ASV_92,0.16052781553698098,turquoise,turquoise,4.827939910100851e-23,bact_ASV_1 bact_ASV_92,bact_ASV_92 bact_ASV_1
bact_ASV_1,bact_ASV_114,0.17954569470432846,turquoise,turquoise,9.900657318962914e-25,bact_ASV_1 bact_ASV_114,bact_ASV_114 bact_ASV_1
bact_ASV_1,bact_ASV_65,0.20594974495994453,turquoise,turquoise,1.0512706851789947e-37,bact_ASV_1 bact_ASV_65,bact_ASV_65 bact_ASV_1
bact_ASV_1,bact_ASV_59,0.28684798493686603,turquoise,turquoise,1.6409369364424441e-66,bact_ASV_1 bact_ASV_59,bact_ASV_59 bact_ASV_1
bact_ASV_1,bact_ASV_131,0.05591280536391729,turquoise,turquoise,2.4304869225338838e-8,bact_ASV_1 bact_ASV_131,bact_ASV_131 bact_ASV_1
bact_ASV_1,bact_ASV_70,0.00310955782556809,turquoise,grey,2.786254943264754e-4,bact_ASV_1 bact_ASV_70,bact_ASV_70 bact_ASV_1
bact_ASV_1,bact_ASV_93,0.1893445943273963,turquoise,turquoise,1.963576346769083e-32,bact_ASV_1 bact_ASV_93,bact_ASV_93 bact_ASV_1
bact_ASV_1,bact_ASV_111,0.1607708905748088,turquoise,turquoise,3.700759274625961e-23,bact_ASV_1 bact_ASV_111,bact_ASV_111 bact_ASV_1
bact_ASV_1,bact_ASV_91,0.26866027257184255,turquoise,turquoise,1.1220101387063625e-51,bact_ASV_1 bact_ASV_91,bact_ASV_91 bact_ASV_1
bact_ASV_1,bact_ASV_107,0.00818590112011763,turquoise,grey,8.429507366230604e-4,bact_ASV_1 bact_ASV_107,bact_ASV_107 bact_ASV_1
bact_ASV_1,bact_ASV_124,0.0409980139187466,turquoise,turquoise,4.03712394597875e-7,bact_ASV_1 bact_ASV_124,bact_ASV_124 bact_ASV_1
bact_ASV_1,bact_ASV_104,0.04105846156621827,turquoise,grey,8.787943635653709e-5,bact_ASV_1 bact_ASV_104,bact_ASV_104 bact_ASV_1
bact_ASV_1,bact_ASV_118,0.05064241519965502,turquoise,turquoise,3.4956431707192186e-10,bact_ASV_1 bact_ASV_118,bact_ASV_118 bact_ASV_1
bact_ASV_1,bact_ASV_112,0.01837480813890485,turquoise,turquoise,1.1630207645529766e-7,bact_ASV_1 bact_ASV_112,bact_ASV_112 bact_ASV_1
bact_ASV_1,bact_ASV_122,0.06823411648250112,turquoise,turquoise,8.761572994012177e-9,bact_ASV_1 bact_ASV_122,bact_ASV_122 bact_ASV_1
bact_ASV_1,bact_ASV_143,0.2899173078848267,turquoise,turquoise,6.342295846826462e-76,bact_ASV_1 bact_ASV_143,bact_ASV_143 bact_ASV_1
bact_ASV_1,bact_ASV_150,0.2578415005706123,turquoise,turquoise,6.330011982529648e-45,bact_ASV_1 bact_ASV_150,bact_ASV_150 bact_ASV_1
bact_ASV_1,bact_ASV_125,0.16098730934658587,turquoise,turquoise,6.5286743979135636e-24,bact_ASV_1 bact_ASV_125,bact_ASV_125 bact_ASV_1
bact_ASV_1,bact_ASV_103,0.01985549470685393,turquoise,turquoise,1.8157949549282655e-8,bact_ASV_1 bact_ASV_103,bact_ASV_103 bact_ASV_1
bact_ASV_1,bact_ASV_140,0.30185805584043396,turquoise,turquoise,1.7694960392696395e-67,bact_ASV_1 bact_ASV_140,bact_ASV_140 bact_ASV_1
bact_ASV_1,bact_ASV_148,0.2355874379259341,turquoise,turquoise,2.877646207382735e-44,bact_ASV_1 bact_ASV_148,bact_ASV_148 bact_ASV_1
bact_ASV_1,arc_ASV_2,0.02835775044113598,turquoise,blue,8.577385598020233e-8,bact_ASV_1 arc_ASV_2,arc_ASV_2 bact_ASV_1
bact_ASV_1,arc_ASV_3,0.09674651576528552,turquoise,turquoise,2.0602467928208132e-15,bact_ASV_1 arc_ASV_3,arc_ASV_3 bact_ASV_1
