ID,Label,Interval,Phylum,Class,Order,Family,Genus,Modularity Class,Eccentricity,Closeness Centrality,Harmonic Closeness Centrality,Betweenness Centrality,Degree,Weighted Degree
bact_ASV_1,Alicyclobacillaceae,,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,0,2,0.6666666667,0.75,0,1,0.3418974436
bact_ASV_3,Xanthobacteraceae,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,8,2,0.7741935484,0.8541666667,0,17,11.58191615
bact_ASV_10,Alicyclobacillaceae,,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,0,1,1,1,1,2,0.6639147816
bact_ASV_17,Alicyclobacillaceae,,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,0,2,0.6666666667,0.75,0,1,0.322017338
bact_ASV_9,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,4,2,0.8888888889,0.9375,0,7,5.16706775
bact_ASV_13,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,4,1,1,1,3,8,2.575647095
bact_ASV_14,Thermacetogeniaceae,,Firmicutes,Thermacetogenia,Thermacetogeniales,Thermacetogeniaceae,NA,8,2,0.7741935484,0.8541666667,0,17,8.815445806
bact_ASV_78,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,4,2,0.8888888889,0.9375,0,7,5.16706775
bact_ASV_41,Xanthobacteraceae,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,2,1,1,1,0,2,0.7220025458
bact_ASV_16,Mycobacteriaceae,,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,8,2,0.7741935484,0.8541666667,0,17,8.36978716
bact_ASV_38,Bacillaceae,,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,4,2,0.5714285714,0.625,0,2,0.7694500158
bact_ASV_53,,,Proteobacteria,Alphaproteobacteria,Elsterales,NA,NA,8,2,0.7741935484,0.8541666667,0,17,8.943253627
bact_ASV_33,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,4,2,0.8888888889,0.9375,0,7,5.16706775
bact_ASV_40,,,Acidobacteriota,Acidobacteriae,Acidobacteriales,NA,NA,1,1,1,1,0,1,0.3016658088
bact_ASV_73,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,4,1,1,1,3,8,2.926731604
bact_ASV_87,Paenibacillaceae,,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Cohnella,2,1,1,1,0,2,0.8220626412
bact_ASV_54,Bryobacteraceae,,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,1,1,1,1,0,1,0.3016658088
bact_ASV_65,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,4,2,0.8888888889,0.9375,0,7,5.16706775
bact_ASV_70,Xanthobacteraceae,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,8,2,0.7741935484,0.8541666667,0,17,6.922633912
bact_ASV_93,Paenibacillaceae,,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,NA,2,1,1,1,0,2,0.8360843401
bact_ASV_91,Alicyclobacillaceae,,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,3,1,1,1,0,3,1.829548223
bact_ASV_104,Thermacetogeniaceae,,Firmicutes,Thermacetogenia,Thermacetogeniales,Thermacetogeniaceae,NA,8,2,0.7741935484,0.8541666667,0,17,7.111609442
bact_ASV_143,Alicyclobacillaceae,,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,3,1,1,1,0,3,1.593762883
bact_ASV_140,Sulfobacillaceae,,Firmicutes,Sulfobacillia,Sulfobacillales,Sulfobacillaceae,Sulfobacillus,3,1,1,1,0,3,1.815907833
bact_ASV_148,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,4,2,0.8888888889,0.9375,0,7,5.16706775
fun_ASV_2,Aspergillaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,3,1,1,1,0,3,1.8362515
fun_ASV_25,Tetragoniomycetaceae,,Basidiomycota,Tremellomycetes,Trichosporonales,Tetragoniomycetaceae,Cryptotrichosporon,8,1,1,1,1.647058824,24,18.49013845
fun_ASV_14,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Rasamsonia,8,1,1,1,1.647058824,24,18.49013845
fun_ASV_7,,,NA,NA,NA,NA,NA,5,1,1,1,0,2,1.11585066
fun_ASV_17,Coniochaetaceae,,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,7,1,1,1,0,2,1.57056253
fun_ASV_19,,,NA,NA,NA,NA,NA,8,1,1,1,1.647058824,24,18.49013845
fun_ASV_37,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,8,1,1,1,1.647058824,24,18.49013845
fun_ASV_41,,,NA,NA,NA,NA,NA,8,1,1,1,1.647058824,24,18.49013845
fun_ASV_112,,,NA,NA,NA,NA,NA,5,1,1,1,0,2,0.7045548635
fun_ASV_43,,,NA,NA,NA,NA,NA,6,1,1,1,0,1,0.8730571746
fun_ASV_52,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Rasamsonia,8,1,1,1,1.647058824,24,18.49013845
fun_ASV_29,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,8,1,1,1,1.647058824,24,18.49013845
fun_ASV_89,,,NA,NA,NA,NA,NA,8,1,1,1,1.647058824,24,18.49013845
fun_ASV_88,,,NA,NA,NA,NA,NA,8,1,1,1,1.647058824,24,18.49013845
fun_ASV_65,,,NA,NA,NA,NA,NA,8,1,1,1,1.647058824,24,18.49013845
fun_ASV_70,,,NA,NA,NA,NA,NA,4,2,0.8888888889,0.9375,0,7,5.169708914
fun_ASV_44,Aspergillaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,8,2,0.7741935484,0.8541666667,0,17,6.649953997
fun_ASV_108,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,8,1,1,1,1.647058824,24,18.49013845
fun_ASV_127,,,NA,NA,NA,NA,NA,7,1,1,1,0,2,1.570399173
fun_ASV_116,,,NA,NA,NA,NA,NA,8,1,1,1,1.647058824,24,18.49013845
fun_ASV_117,Sporocadaceae,,Ascomycota,Sordariomycetes,Amphisphaeriales,Sporocadaceae,Neopestalotiopsis,8,1,1,1,1.647058824,24,18.49013845
fun_ASV_170,Sporocadaceae,,Ascomycota,Sordariomycetes,Amphisphaeriales,Sporocadaceae,Pestalotiopsis,5,1,1,1,0,2,1.115581063
fun_ASV_167,,,NA,NA,NA,NA,NA,6,1,1,1,0,1,0.8730571746
fun_ASV_69,Aspergillaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,7,1,1,1,0,2,1.570400254
fun_ASV_123,,,NA,NA,NA,NA,NA,8,1,1,1,1.647058824,24,18.49013845
fun_ASV_125,Aspergillaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,8,1,1,1,1.647058824,24,18.49013845
fun_ASV_142,,,NA,NA,NA,NA,NA,8,1,1,1,1.647058824,24,18.49013845
fun_ASV_122,,,NA,NA,NA,NA,NA,8,2,0.7741935484,0.8541666667,0,17,10.23724634
fun_ASV_139,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,8,1,1,1,1.647058824,24,18.49013845
