ID,Label,Interval,Phylum,Class,Order,Family,Genus,Modularity Class,Eccentricity,Closeness Centrality,Harmonic Closeness Centrality,Betweenness Centrality,Degree,Weighted Degree
bact_ASV_10,Alicyclobacillaceae,,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,0,1,1,1,3,4,1.288923813
bact_ASV_8,Bacillaceae,,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,0,2,0.8,0.875,0,3,1.175917073
bact_ASV_11,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,1,2,0.7142857143,0.8,0,3,1.016380287
bact_ASV_17,Alicyclobacillaceae,,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,3,1,1,1,0,4,1.299666927
bact_ASV_9,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,1,2,0.7142857143,0.8,0,3,1.030245061
bact_ASV_13,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,2,2,0.7236842105,0.8090909091,0,34,14.16153281
bact_ASV_21,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,1,1,1,1,6,5,1.703318615
bact_ASV_78,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,2,2,0.7236842105,0.8090909091,0,34,10.84374976
bact_ASV_38,Bacillaceae,,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,0,2,0.8,0.875,0,3,1.117064524
bact_ASV_49,Bacillaceae,,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,0,2,0.8,0.875,0,3,1.197815116
bact_ASV_53,,,Proteobacteria,Alphaproteobacteria,Elsterales,NA,NA,4,1,1,1,0.95,7,4.585333243
bact_ASV_33,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,1,2,0.7142857143,0.8,0,3,0.9908758262
bact_ASV_73,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,1,2,0.625,0.7,0,2,0.6671113665
