ID,Label,Interval,Phylum,Class,Order,Family,Genus,Modularity Class,Eccentricity,Closeness Centrality,Harmonic Closeness Centrality,Betweenness Centrality,Degree,Weighted Degree
bact_ASV_9,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,5,2,0.8333333333,0.9,0,8,4.686329096
bact_ASV_4,Xanthobacteraceae,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,3,1,1,1,4.333333333,5,1.774585351
bact_ASV_13,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,8,1,1,1,0,2,0.7319510822
bact_ASV_78,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,5,1,1,1,0.7142857143,10,7.07303879
bact_ASV_26,Acidothermaceae,,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,0,1,1,1,0,1,0.3902125571
bact_ASV_45,Acidothermaceae,,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,1,2,0.6666666667,0.75,0,1,0.3018346757
bact_ASV_16,Mycobacteriaceae,,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,3,2,0.8333333333,0.9,0.3333333333,4,1.443335282
bact_ASV_37,Acidothermaceae,,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,1,1,1,1,1,2,0.6701517338
bact_ASV_38,Bacillaceae,,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,2,1,1,1,0,1,0.3654657462
bact_ASV_63,Acidothermaceae,,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,0,1,1,1,0,1,0.3902125571
bact_ASV_71,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,5,2,0.8333333333,0.9,0,8,4.275726431
bact_ASV_33,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,5,1,1,1,0.7142857143,10,7.07303879
bact_ASV_40,,,Acidobacteriota,Acidobacteriae,Acidobacteriales,NA,NA,3,2,0.5555555556,0.6,0,1,0.3299445653
bact_ASV_73,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,8,1,1,1,0,2,0.8040070436
bact_ASV_68,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,5,2,0.7692307692,0.85,0,7,2.969410966
bact_ASV_84,Paenibacillaceae,,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,7,2,0.8,0.875,0,3,1.391604061
bact_ASV_69,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,5,2,0.7692307692,0.85,0,7,3.708184241
bact_ASV_79,Acidothermaceae,,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,1,2,0.6666666667,0.75,0,1,0.3683170581
bact_ASV_75,Alicyclobacillaceae,,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,2,1,1,1,0,1,0.3654657462
bact_ASV_65,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,5,1,1,1,0.7142857143,10,7.07303879
bact_ASV_70,Xanthobacteraceae,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,3,2,0.8333333333,0.9,0.3333333333,4,1.450247833
bact_ASV_111,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,4,1,1,1,0,1,0.7491837485
bact_ASV_91,Alicyclobacillaceae,,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,7,1,1,1,0.3333333333,4,2.020912331
bact_ASV_124,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,5,1,1,1,0.7142857143,10,7.07303879
bact_ASV_99,Beijerinckiaceae,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,3,2,0.7142857143,0.8,0,3,1.02178107
bact_ASV_143,Alicyclobacillaceae,,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,7,1,1,1,0.3333333333,4,2.020912331
bact_ASV_150,Alicyclobacillaceae,,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,5,1,1,1,0.7142857143,10,7.07303879
bact_ASV_140,Sulfobacillaceae,,Firmicutes,Sulfobacillia,Sulfobacillales,Sulfobacillaceae,Sulfobacillus,5,1,1,1,0.7142857143,10,7.07303879
bact_ASV_148,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,5,1,1,1,0.7142857143,10,7.07303879
fun_ASV_1,,,NA,NA,NA,NA,NA,9,1,1,1,0,24,10.93790711
