ID,Label,Interval,Phylum,Class,Order,Family,Genus,Modularity Class,Eccentricity,Closeness Centrality,Harmonic Closeness Centrality,Betweenness Centrality,Degree,Weighted Degree
bact_ASV_1,Alicyclobacillaceae,,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,0,3,0.6632653061,0.7615384615,41.66666667,35,11.33634171
bact_ASV_10,Alicyclobacillaceae,,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,0,4,0.4779411765,0.5525641026,36.29298246,13,4.535985426
bact_ASV_8,Bacillaceae,,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,0,4,0.4577464789,0.5115384615,0.7666666667,8,2.777303358
bact_ASV_11,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,5,4,0.5752212389,0.708974359,0,32,22.06450058
bact_ASV_17,Alicyclobacillaceae,,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,0,3,0.7386363636,0.8333333333,393.6666667,44,13.95079855
bact_ASV_9,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,0,4,0.4220779221,0.45,10.33333333,2,0.628854759
bact_ASV_13,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,5,4,0.5752212389,0.708974359,0,32,17.7142672
bact_ASV_24,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,5,4,0.5752212389,0.708974359,0,32,17.03897053
bact_ASV_21,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,5,4,0.5752212389,0.708974359,0,32,17.4669728
bact_ASV_78,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,0,4,0.4642857143,0.5217948718,1.976315789,9,2.951294895
bact_ASV_47,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,5,5,0.3714285714,0.4082051282,0,1,0.3158964412
bact_ASV_38,Bacillaceae,,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,0,4,0.4513888889,0.4961538462,0,6,2.082374133
bact_ASV_58,Acidothermaceae,,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,0,4,0.4482758621,0.4884615385,0,5,1.595545603
bact_ASV_53,,,Proteobacteria,Alphaproteobacteria,Elsterales,NA,NA,5,4,0.5752212389,0.708974359,0,32,9.885385621
bact_ASV_33,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,0,5,0.3299492386,0.3684615385,2.283333333,3,0.9761236669
bact_ASV_73,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,1,1,1,1,0,1,0.3276560782
bact_ASV_68,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,5,4,0.5752212389,0.708974359,0,32,19.9327838
bact_ASV_43,Mycobacteriaceae,,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,5,4,0.5752212389,0.708974359,0,32,13.70417877
bact_ASV_84,Paenibacillaceae,,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,5,4,0.5752212389,0.708974359,0,32,15.91152455
bact_ASV_69,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,5,4,0.5752212389,0.708974359,0,32,18.42498538
bact_ASV_75,Alicyclobacillaceae,,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,0,4,0.4779411765,0.5525641026,9.720255183,13,4.538522142
bact_ASV_54,Bryobacteraceae,,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,2,1,1,1,0,2,1.098004332
bact_ASV_65,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,5,4,0.5752212389,0.708974359,0,32,11.32920635
