"Id","Phylum","Class","Order","Family","Genus"
"bact_ASV_1","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Alicyclobacillus"
"bact_ASV_5","Actinobacteriota","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus"
"bact_ASV_3","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"bact_ASV_10","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Alicyclobacillus"
"bact_ASV_8","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"bact_ASV_36","Actinobacteriota","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus"
"bact_ASV_19","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"bact_ASV_11","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae",NA
"bact_ASV_17","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Alicyclobacillus"
"bact_ASV_9","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae",NA
"bact_ASV_4","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"bact_ASV_13","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae",NA
"bact_ASV_24","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae",NA
"bact_ASV_21","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae",NA
"bact_ASV_22","Actinobacteriota","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus"
"bact_ASV_14","Firmicutes","Thermacetogenia","Thermacetogeniales","Thermacetogeniaceae",NA
"bact_ASV_50","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Alicyclobacillus"
"bact_ASV_35","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"bact_ASV_78","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae",NA
"bact_ASV_41","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"bact_ASV_80","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","Geothermomicrobium"
