Sample_16S,Sample_Arc,Sample_ITS,T1P1D1,T1P2D1,T1P3D1,T1P4D1,T1P5D1,T2P1D1,T2P2D1,T2P3D1,T2P4D1,T2P5D1,T3P1D1,T3P2D1,T3P3D1,T3P4D1,T3P5D1,T4P1D1,T4P2D1,T4P3D1,T4P4D1,T4P5D1,T5P1D1,T5P2D1,T5P3D1,T5P4D1,T5P5D1,T1P1D2,T1P2D2,T1P3D2,T1P4D2,T1P5D2,T2P1D2,T2P2D2,T2P3D2,T2P4D2,T2P5D2,T3P1D2,T3P2D2,T3P3D2,T3P4D2,T3P5D2,T4P1D2,T4P2D2,T4P3D2,T4P4D2,T4P5D2,T5P1D2,T5P2D2,T5P3D2,T5P4D2,T5P5D2,T1P1D3,T1P2D3,T1P3D3,T1P4D3,T1P5D3,T2P1D3,T2P2D3,T2P3D3,T2P4D3,T2P5D3,T3P1D3,T3P2D3,T3P3D3,T3P4D3,T3P5D3,T4P1D3,T4P2D3,T4P3D3,T4P4D3,T4P5D3,T5P1D3,T5P2D3,T5P3D3,T5P4D3,T5P5D3,T1P1D4,T1P2D4,T1P3D4,T1P4D4,T1P5D4,T2P1D4,T2P2D4,T2P3D4,T2P4D4,T2P5D4,T3P1D4,T3P2D4,T3P3D4,T3P4D4,T3P5D4,T4P1D4,T4P2D4,T4P3D4,T4P4D4,T4P5D4,T5P1D4,T5P2D4,T5P3D4,T5P4D4,T5P5D4
TE16SAAA,ArcTE16SAAA,TEITSAAA,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1
TE16SABA,ArcTE16SABA,TEITSABA,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1
TE16SACA,ArcTE16SACA,TEITSACA,1,1,0,0.5535714286,0.6421052632,1,1,0.4845360825,0.6,0.6730769231,1,1,0.6836158192,0.724137931,0.68,1,1,0.6315789474,0.6036036036,0.6714285714,1,1,0.7288135593,0.75,0.803030303,1,1,0,0.5535714286,0.6421052632,1,1,0.4845360825,0.6,0.6730769231,1,1,0.6836158192,0.724137931,0.68,1,1,0.6315789474,0.6036036036,0.6714285714,1,1,0.7288135593,0.75,0.803030303,1,1,0,0.5535714286,0.6421052632,1,1,0.4845360825,0.6,0.6730769231,1,1,0.6836158192,0.724137931,0.68,1,1,0.6315789474,0.6036036036,0.6714285714,1,1,0.7288135593,0.75,0.803030303,1,1,0,0.5535714286,0.6421052632,1,1,0.4845360825,0.6,0.6730769231,1,1,0.6836158192,0.724137931,0.68,1,1,0.6315789474,0.6036036036,0.6714285714,1,1,0.7288135593,0.75,0.803030303
TE16SADA,ArcTE16SADA,TEITSADA,1,1,0.5535714286,0,0.5658914729,1,1,0.5877862595,0.4532374101,0.5217391304,1,1,0.5260663507,0.44,0.5223880597,1,1,0.4459459459,0.4068965517,0.4482758621,1,1,0.4407582938,0.4516129032,0.5662650602,1,1,0.5535714286,0,0.5658914729,1,1,0.5877862595,0.4532374101,0.5217391304,1,1,0.5260663507,0.44,0.5223880597,1,1,0.4459459459,0.4068965517,0.4482758621,1,1,0.4407582938,0.4516129032,0.5662650602,1,1,0.5535714286,0,0.5658914729,1,1,0.5877862595,0.4532374101,0.5217391304,1,1,0.5260663507,0.44,0.5223880597,1,1,0.4459459459,0.4068965517,0.4482758621,1,1,0.4407582938,0.4516129032,0.5662650602,1,1,0.5535714286,0,0.5658914729,1,1,0.5877862595,0.4532374101,0.5217391304,1,1,0.5260663507,0.44,0.5223880597,1,1,0.4459459459,0.4068965517,0.4482758621,1,1,0.4407582938,0.4516129032,0.5662650602
TE16SAEA,ArcTE16SAEA,TEITSAEA,1,1,0.6421052632,0.5658914729,0,1,1,0.7543859649,0.6393442623,0.652892562,1,1,0.7422680412,0.6240601504,0.6581196581,1,1,0.6335877863,0.53125,0.5414012739,1,1,0.6494845361,0.7041420118,0.6241610738,1,1,0.6421052632,0.5658914729,0,1,1,0.7543859649,0.6393442623,0.652892562,1,1,0.7422680412,0.6240601504,0.6581196581,1,1,0.6335877863,0.53125,0.5414012739,1,1,0.6494845361,0.7041420118,0.6241610738,1,1,0.6421052632,0.5658914729,0,1,1,0.7543859649,0.6393442623,0.652892562,1,1,0.7422680412,0.6240601504,0.6581196581,1,1,0.6335877863,0.53125,0.5414012739,1,1,0.6494845361,0.7041420118,0.6241610738,1,1,0.6421052632,0.5658914729,0,1,1,0.7543859649,0.6393442623,0.652892562,1,1,0.7422680412,0.6240601504,0.6581196581,1,1,0.6335877863,0.53125,0.5414012739,1,1,0.6494845361,0.7041420118,0.6241610738
TE16SBAA,ArcTE16SBAA,TEITSBAA,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1
TE16SBBA,ArcTE16SBBA,TEITSBBA,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1
TE16SBCA,ArcTE16SBCA,TEITSBCA,1,1,0.4845360825,0.5877862595,0.7543859649,1,1,0,0.4677419355,0.6260162602,1,1,0.4897959184,0.7333333333,0.5798319328,1,1,0.4135338346,0.6307692308,0.7232704403,1,1,0.5816326531,0.5204678363,0.6026490066,1,1,0.4845360825,0.5877862595,0.7543859649,1,1,0,0.4677419355,0.6260162602,1,1,0.4897959184,0.7333333333,0.5798319328,1,1,0.4135338346,0.6307692308,0.7232704403,1,1,0.5816326531,0.5204678363,0.6026490066,1,1,0.4845360825,0.5877862595,0.7543859649,1,1,0,0.4677419355,0.6260162602,1,1,0.4897959184,0.7333333333,0.5798319328,1,1,0.4135338346,0.6307692308,0.7232704403,1,1,0.5816326531,0.5204678363,0.6026490066,1,1,0.4845360825,0.5877862595,0.7543859649,1,1,0,0.4677419355,0.6260162602,1,1,0.4897959184,0.7333333333,0.5798319328,1,1,0.4135338346,0.6307692308,0.7232704403,1,1,0.5816326531,0.5204678363,0.6026490066
TE16SBDA,ArcTE16SBDA,TEITSBDA,1,1,0.6,0.4532374101,0.6393442623,1,1,0.4677419355,0,0.3740458015,1,1,0.6274509804,0.5244755245,0.3543307087,1,1,0.5886524823,0.4202898551,0.5808383234,1,1,0.6274509804,0.3966480447,0.5974842767,1,1,0.6,0.4532374101,0.6393442623,1,1,0.4677419355,0,0.3740458015,1,1,0.6274509804,0.5244755245,0.3543307087,1,1,0.5886524823,0.4202898551,0.5808383234,1,1,0.6274509804,0.3966480447,0.5974842767,1,1,0.6,0.4532374101,0.6393442623,1,1,0.4677419355,0,0.3740458015,1,1,0.6274509804,0.5244755245,0.3543307087,1,1,0.5886524823,0.4202898551,0.5808383234,1,1,0.6274509804,0.3966480447,0.5974842767,1,1,0.6,0.4532374101,0.6393442623,1,1,0.4677419355,0,0.3740458015,1,1,0.6274509804,0.5244755245,0.3543307087,1,1,0.5886524823,0.4202898551,0.5808383234,1,1,0.6274509804,0.3966480447,0.5974842767
TE16SBEA,ArcTE16SBEA,TEITSBEA,1,1,0.6730769231,0.5217391304,0.652892562,1,1,0.6260162602,0.3740458015,0,1,1,0.645320197,0.5915492958,0.380952381,1,1,0.5857142857,0.5182481752,0.6385542169,1,1,0.684729064,0.5842696629,0.6329113924,1,1,0.6730769231,0.5217391304,0.652892562,1,1,0.6260162602,0.3740458015,0,1,1,0.645320197,0.5915492958,0.380952381,1,1,0.5857142857,0.5182481752,0.6385542169,1,1,0.684729064,0.5842696629,0.6329113924,1,1,0.6730769231,0.5217391304,0.652892562,1,1,0.6260162602,0.3740458015,0,1,1,0.645320197,0.5915492958,0.380952381,1,1,0.5857142857,0.5182481752,0.6385542169,1,1,0.684729064,0.5842696629,0.6329113924,1,1,0.6730769231,0.5217391304,0.652892562,1,1,0.6260162602,0.3740458015,0,1,1,0.645320197,0.5915492958,0.380952381,1,1,0.5857142857,0.5182481752,0.6385542169,1,1,0.684729064,0.5842696629,0.6329113924
