Transect,Plot,Anacardiaceae,Annonaceae,Apocynaceae,Aquifoliaceae,Burseraceae,Chrysobalanaceae,Clusiaceae,Crypteroniaceae,Dilleniaceae,Dipterocarpaceae,Ebenaceae,Elaeocarpaceae,Euphorbiaceae,Fabaceae,Fagaceae,Hypericaceae,Lauraceae,Lecythidaceae,Meliaceae,Metteniusaceae,Moraceae,Myristicaceae,Myrtaceae,Pandanaceae,Phyllanthaceae,Polygalaceae,Rubiaceae,Sapindaceae,Sapotaceae,Stemonuraceae
1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,1,0,0,0,0,0,2,0,0,0,0,3,0,15,1,4,0,0,2,0,0,0,0,2,1,8,0,0,0
1,4,0,1,0,7,0,0,2,4,0,2,1,1,6,0,7,0,2,0,0,0,0,0,2,0,3,0,20,0,15,0
1,5,0,8,2,1,0,0,0,1,0,4,1,0,1,0,4,0,2,0,0,0,0,11,0,6,0,0,8,0,7,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,1,2,0,0,0,0,0,0,0,0,8,0,13,0,2,0,0,0,0,0,20,0,6,0,5,1,0,0
2,4,0,0,0,10,1,3,0,3,0,5,1,0,9,0,3,0,4,0,0,0,0,0,7,0,6,4,6,0,3,1
2,5,0,0,0,5,0,2,0,0,0,5,2,0,4,0,0,0,15,1,0,0,0,0,4,0,12,0,10,0,4,1
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,0,1,2,0,0,0,0,1,1,0,36,0,11,0,9,0,0,0,0,0,21,0,2,0,30,16,8,0
3,4,0,0,0,12,0,0,0,0,0,2,0,16,5,0,0,0,1,0,0,2,0,0,3,6,2,1,7,0,17,3
3,5,0,0,0,6,0,0,0,2,0,4,0,1,0,0,1,0,2,0,0,0,0,0,9,0,11,12,10,0,3,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,0,0,4,0,0,0,0,0,2,2,1,1,0,11,0,1,0,2,0,4,0,18,0,0,0,16,2,6,5
4,4,0,1,1,18,0,0,1,2,0,3,4,1,0,0,6,0,5,0,0,1,0,0,8,1,0,0,9,0,9,2
4,5,0,12,0,9,0,0,0,1,0,8,3,0,5,0,9,0,0,0,0,0,0,5,1,0,0,1,44,0,3,0
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,1,7,0,8,0,0,0,3,1,3,6,0,2,0,9,0,1,0,0,0,0,0,35,0,1,0,48,1,12,0
5,4,0,0,0,12,1,15,0,3,0,6,1,1,15,1,4,0,2,0,0,0,0,0,20,0,0,0,28,0,3,1
5,5,0,10,0,2,0,0,5,0,0,7,2,0,1,0,1,0,1,0,0,0,0,0,28,0,0,10,21,0,3,2
