OTU,colors
bact_ASV_1,turquoise
bact_ASV_5,turquoise
bact_ASV_3,turquoise
bact_ASV_10,turquoise
bact_ASV_8,turquoise
bact_ASV_36,grey
bact_ASV_19,turquoise
bact_ASV_11,turquoise
bact_ASV_17,turquoise
bact_ASV_9,turquoise
bact_ASV_4,grey
bact_ASV_13,turquoise
bact_ASV_24,turquoise
bact_ASV_21,turquoise
bact_ASV_22,turquoise
bact_ASV_14,grey
bact_ASV_50,turquoise
bact_ASV_35,grey
bact_ASV_78,turquoise
bact_ASV_41,grey
bact_ASV_80,grey
bact_ASV_44,grey
bact_ASV_26,grey
bact_ASV_32,grey
bact_ASV_60,turquoise
bact_ASV_42,grey
bact_ASV_45,grey
bact_ASV_47,turquoise
bact_ASV_16,grey
bact_ASV_37,grey
bact_ASV_38,turquoise
bact_ASV_63,blue
bact_ASV_58,turquoise
bact_ASV_49,turquoise
bact_ASV_89,grey
bact_ASV_71,grey
bact_ASV_53,grey
bact_ASV_81,grey
bact_ASV_105,grey
bact_ASV_33,turquoise
bact_ASV_40,turquoise
bact_ASV_73,turquoise
bact_ASV_48,grey
bact_ASV_72,grey
bact_ASV_68,turquoise
bact_ASV_43,grey
bact_ASV_84,turquoise
bact_ASV_52,grey
bact_ASV_82,grey
bact_ASV_69,turquoise
bact_ASV_119,grey
bact_ASV_74,grey
bact_ASV_79,grey
bact_ASV_86,grey
bact_ASV_87,grey
bact_ASV_102,grey
bact_ASV_75,turquoise
bact_ASV_54,grey
bact_ASV_92,turquoise
bact_ASV_114,turquoise
bact_ASV_65,turquoise
bact_ASV_59,turquoise
bact_ASV_131,turquoise
bact_ASV_70,grey
bact_ASV_93,turquoise
bact_ASV_111,grey
bact_ASV_96,grey
bact_ASV_91,turquoise
bact_ASV_107,grey
bact_ASV_124,turquoise
bact_ASV_88,grey
bact_ASV_98,turquoise
bact_ASV_99,grey
bact_ASV_104,turquoise
bact_ASV_118,grey
bact_ASV_112,grey
bact_ASV_122,grey
bact_ASV_127,grey
bact_ASV_143,turquoise
bact_ASV_150,turquoise
bact_ASV_141,grey
bact_ASV_125,grey
bact_ASV_103,turquoise
bact_ASV_177,grey
bact_ASV_140,turquoise
bact_ASV_148,turquoise
arc_ASV_2,grey
arc_ASV_4,grey
arc_ASV_3,grey
arc_ASV_6,turquoise
fun_ASV_1,grey
fun_ASV_10,grey
fun_ASV_4,grey
fun_ASV_22,blue
fun_ASV_3,grey
fun_ASV_5,grey
fun_ASV_6,grey
fun_ASV_24,blue
fun_ASV_28,turquoise
fun_ASV_2,grey
fun_ASV_38,blue
fun_ASV_15,grey
fun_ASV_25,grey
fun_ASV_20,grey
fun_ASV_23,grey
fun_ASV_30,turquoise
fun_ASV_27,turquoise
fun_ASV_32,grey
fun_ASV_11,grey
fun_ASV_26,grey
fun_ASV_36,grey
fun_ASV_14,turquoise
fun_ASV_12,turquoise
fun_ASV_9,grey
fun_ASV_34,blue
fun_ASV_49,grey
fun_ASV_7,turquoise
fun_ASV_48,grey
fun_ASV_40,grey
fun_ASV_45,grey
fun_ASV_13,turquoise
fun_ASV_74,grey
fun_ASV_64,blue
fun_ASV_35,grey
fun_ASV_39,turquoise
fun_ASV_17,turquoise
fun_ASV_94,grey
fun_ASV_19,turquoise
fun_ASV_31,blue
fun_ASV_86,grey
fun_ASV_82,blue
fun_ASV_8,grey
fun_ASV_63,grey
fun_ASV_47,grey
fun_ASV_56,grey
fun_ASV_37,turquoise
fun_ASV_51,blue
fun_ASV_60,blue
fun_ASV_21,turquoise
fun_ASV_41,turquoise
fun_ASV_112,blue
fun_ASV_55,blue
fun_ASV_57,grey
fun_ASV_43,turquoise
fun_ASV_66,blue
fun_ASV_111,grey
fun_ASV_33,turquoise
fun_ASV_42,grey
fun_ASV_52,turquoise
fun_ASV_29,grey
fun_ASV_89,grey
fun_ASV_88,grey
fun_ASV_50,grey
fun_ASV_91,blue
fun_ASV_73,grey
fun_ASV_92,blue
fun_ASV_65,turquoise
fun_ASV_101,grey
fun_ASV_85,grey
fun_ASV_109,blue
fun_ASV_135,blue
fun_ASV_83,blue
fun_ASV_54,grey
fun_ASV_81,blue
fun_ASV_70,blue
fun_ASV_113,grey
fun_ASV_53,turquoise
fun_ASV_44,blue
fun_ASV_115,blue
fun_ASV_108,grey
fun_ASV_127,grey
fun_ASV_103,grey
fun_ASV_61,turquoise
fun_ASV_138,blue
fun_ASV_116,grey
fun_ASV_58,grey
fun_ASV_117,grey
fun_ASV_18,grey
fun_ASV_169,blue
fun_ASV_170,grey
fun_ASV_176,blue
fun_ASV_126,turquoise
fun_ASV_104,turquoise
fun_ASV_167,blue
fun_ASV_114,turquoise
fun_ASV_84,grey
fun_ASV_72,blue
fun_ASV_69,turquoise
fun_ASV_141,blue
fun_ASV_79,grey
fun_ASV_107,grey
fun_ASV_129,blue
fun_ASV_118,grey
fun_ASV_130,blue
fun_ASV_128,blue
fun_ASV_133,turquoise
fun_ASV_123,grey
fun_ASV_165,blue
fun_ASV_98,grey
fun_ASV_125,grey
fun_ASV_152,blue
fun_ASV_142,grey
fun_ASV_156,blue
fun_ASV_122,grey
fun_ASV_153,grey
fun_ASV_143,grey
fun_ASV_139,turquoise
fun_ASV_157,blue
fun_ASV_181,blue
fun_ASV_199,blue
fun_ASV_179,grey
