"","X16S_filename","Archaea_filename","ITS_filename","Transect","Plot","Depth","pH","soil_moisture","N_percent","C_percent","H_percent","P_ww_mgkg","Al_ww_mg.kg","Ca_avg_ww_mg.kg","Fe_avg_ww_mg.kg","Mg_avg_ww_mg.kg","Mn_avg_ww_mg.kg","K_ww_mg.kg","ammonium","nitrate","Apr","BXr","BGr","PERr","CBr","Phenoxr","APb","CBb","BXb","BGb","PERb","Phenoxb","rootP","rootN","rootC","length","diam","tips","ecmcol"
"1","TE16SAAA","ArcTE16SAAA","TEITSAAA","1","1","1",3.88,0.9233226837,1.31,45.38,5.778,193,4.2,283.5,89.13333333,107.3333333,1.4,42,1.662810742,0.332516785,8.749459606,3.28344303,1.957514376,92.46312621,2.761231627,110.2609473,16.55404174,3.627863901,2.659186355,1.058031844,100.7684071,3.627863901,0.38,0.52,45.16,NA,0.2285,NA,NA
"2","TE16SAAB","ArcTE16SAAB","TEITSAAB","1","1","2",3.99,0.9582733813,0.99,45.61,5.724,150,2.8,247.1,44.8,95.2,1.4,53.2,0.822844984,0.356754799,4.849635748,1.397426037,0.816648809,NA,1.403913929,NA,4.502978409,1.824078573,0.903149099,0.740203707,16.18458324,1.824078573,NA,0.4,37.73,7900.425,0.3476,20625,NA
"3","TE16SAAC","ArcTE16SAAC","TEITSAAC","1","1","3",4.03,0.9555873926,0.88,45.66,6.013,64,0,133.5664336,27.50582751,75.05827506,1.398601399,8.391608392,NA,NA,2.420978258,0.944676754,0.610047464,NA,1.1957935,15.47173095,2.414588449,1.553710438,0.866904202,0.60784357,4.574935714,1.553710438,0.02,0.21,48.99,5439.5,0.4658,11750,NA
"4","TE16SAAD","ArcTE16SAAD","TEITSAAD","1","1","4",4.02,0.9364548495,0.74,51.12,5.949,51,1.4,188.3,40.13333333,104.5333333,1.4,7,2.145391664,0.388519583,3.827792385,0.93119117,0.604652791,NA,1.644849225,57.3697361,2.103668219,2.28799405,1.259529633,0.345987208,NA,2.28799405,NA,0.29,46.71,9978.55,0.2592,20916.66667,NA
"5","TE16SABA","ArcTE16SABA","TEITSABA","1","2","1",3.97,0.9415584416,1.22,48.34,5.819,233,1.4,150.5,36.4,91,1.4,32.2,1.312511163,0.258528309,9.416466495,2.947559801,5.468157642,48.64807584,3.056453026,NA,13.71766109,3.010510572,2.234289404,1.123163082,46.87906811,3.010510572,0.42,0.56,47.38,9285.054545,0.2773,33363.63636,NA
"6","TE16SABB","ArcTE16SABB","TEITSABB","1","2","2",4.04,0.9700598802,0.96,51.95,5.944,134,1.398601399,128.6713287,37.2960373,80.18648019,1.398601399,6.993006993,1.048553719,0.314408911,3.140565937,0.996375702,0.843097841,NA,1.115468014,NA,4.095405945,1.211584831,0.715555587,0.222029437,NA,1.211584831,0.24,0.43,45.59,8192.923077,0.2646,18615.38462,NA
"7","TE16SABC","ArcTE16SABC","TEITSABC","1","2","3",3.95,0.9638336347,0.89,51.98,5.9,60,1.401401401,142.2422422,50.91758425,93.89389389,1.401401401,15.41541542,1.288559245,0.337506805,2.394500757,0.513309487,0.683640391,8.737989867,1.14379039,NA,1.986717711,1.65694197,0.84265407,0.354784702,NA,1.65694197,0.04,0.25,44.69,6275.490909,0.3717,23363.63636,NA
"8","TE16SABD","ArcTE16SABD","TEITSABD","1","2","4",4.06,0.9727685325,0.95,52.13,5.968,62.35,1.401401401,129.6296296,55.12178846,86.88688689,1.401401401,7.007007007,1.191136364,0.378181818,1.157129404,0.539520236,0.354921706,6.608495833,0.770923675,NA,1.451418338,1.248346564,0.573119597,0.239463733,NA,1.248346564,0.02,0.22,49.11,3807.6,0.5825,15000,NA
"9","TE16SACA","ArcTE16SACA","TEITSACA","1","3","1",3.8,0.868852459,1.35,56.74,6.421,258,1.4,112.7,51.8,131.6,1.4,29.4,6.66614574,0,103.0782413,17.45053006,11.12952434,91.21605523,11.49554445,NA,96.3718153,10.30798183,10.0750734,5.710202911,20.35183761,10.30798183,NA,1.01,48.06,9783.536364,0.2747,34636.36364,4
"10","TE16SACB","ArcTE16SACB","TEITSACB","1","3","2",3.96,0.9423076923,1.06,54.57,6.168,161,1.398601399,129.3706294,29.83682984,158.5081585,2.797202797,25.17482517,2.254572351,0.141204949,9.829123084,1.409000443,1.154639317,26.26851257,1.618469118,NA,17.00190108,2.763558881,1.602464931,0.567943352,11.88220356,2.763558881,NA,0.38,44.61,2734.109091,0.5409,7818.181818,11
